"Espoon väestö äidinkielen ja iän mukaan 31.12."

"Alue","Äidinkieli","Ikä","2013","2014","2015","2016","2017","2018","2019","2020"
"049 142 Lähderanta","Ruotsi","Väestö yhteensä",181,177,184,168,161,157,161,150
"049 142 Lähderanta","Muu kieli","Väestö yhteensä",109,126,136,160,172,201,207,216
"049 143 Jupperi","Kaikki äidinkielet","Väestö yhteensä",5333,5320,5303,5350,5397,5434,5478,5441
"049 143 Jupperi","Suomi ja saame","Väestö yhteensä",4843,4836,4795,4816,4816,4796,4799,4745
"049 143 Jupperi","Ruotsi","Väestö yhteensä",312,305,300,301,296,294,308,309
"049 143 Jupperi","Muu kieli","Väestö yhteensä",178,179,208,233,285,344,371,387
"049 15 Viherlaakso-Lippajärvi","Kaikki äidinkielet","Väestö yhteensä",9264,9364,9240,9121,9022,8925,8880,9040
"049 15 Viherlaakso-Lippajärvi","Suomi ja saame","Väestö yhteensä",7606,7581,7443,7273,7171,6979,6909,6980
"049 15 Viherlaakso-Lippajärvi","Ruotsi","Väestö yhteensä",865,864,869,847,804,789,787,815
"049 15 Viherlaakso-Lippajärvi","Muu kieli","Väestö yhteensä",793,919,928,1001,1047,1157,1184,1245
"049 151 Viherlaakso","Kaikki äidinkielet","Väestö yhteensä",5029,5148,5120,5088,5061,4973,4926,5042
"049 151 Viherlaakso","Suomi ja saame","Väestö yhteensä",4076,4103,4077,4032,3987,3861,3806,3871
"049 151 Viherlaakso","Ruotsi","Väestö yhteensä",469,456,445,433,422,417,416,441
"049 151 Viherlaakso","Muu kieli","Väestö yhteensä",484,589,598,623,652,695,704,730
"049 152 Lippajärvi","Kaikki äidinkielet","Väestö yhteensä",4235,4216,4120,4033,3961,3952,3954,3998
"049 152 Lippajärvi","Suomi ja saame","Väestö yhteensä",3530,3478,3366,3241,3184,3118,3103,3109
"049 152 Lippajärvi","Ruotsi","Väestö yhteensä",396,408,424,414,382,372,371,374
"049 152 Lippajärvi","Muu kieli","Väestö yhteensä",309,330,330,378,395,462,480,515
"049 16 Sepänkylä","Kaikki äidinkielet","Väestö yhteensä",1376,1360,1361,1350,1372,1387,1416,1481
"049 16 Sepänkylä","Suomi ja saame","Väestö yhteensä",913,906,899,866,879,883,900,969
"049 16 Sepänkylä","Ruotsi","Väestö yhteensä",333,323,321,335,330,343,356,345
"049 16 Sepänkylä","Muu kieli","Väestö yhteensä",130,131,141,149,163,161,160,167
"049 161 Sepänkylä","Kaikki äidinkielet","Väestö yhteensä",1376,1360,1361,1350,1372,1387,1416,1481
"049 161 Sepänkylä","Suomi ja saame","Väestö yhteensä",913,906,899,866,879,883,900,969
"049 161 Sepänkylä","Ruotsi","Väestö yhteensä",333,323,321,335,330,343,356,345
"049 161 Sepänkylä","Muu kieli","Väestö yhteensä",130,131,141,149,163,161,160,167
"049 2 Suur-Tapiola","Kaikki äidinkielet","Väestö yhteensä",43989,44427,45083,46052,46699,47313,49120,50324
"049 2 Suur-Tapiola","Suomi ja saame","Väestö yhteensä",36720,36931,37179,37785,38175,38450,39487,40158
"049 2 Suur-Tapiola","Ruotsi","Väestö yhteensä",3441,3400,3414,3421,3448,3456,3468,3467
"049 2 Suur-Tapiola","Muu kieli","Väestö yhteensä",3828,4096,4490,4846,5076,5407,6165,6699
"049 21 Kanta-Tapiola","Kaikki äidinkielet","Väestö yhteensä",19674,20119,20526,21390,22309,22854,24058,25169
"049 21 Kanta-Tapiola","Suomi ja saame","Väestö yhteensä",17022,17350,17536,18230,18923,19309,20115,20886
"049 21 Kanta-Tapiola","Ruotsi","Väestö yhteensä",1214,1219,1253,1306,1330,1331,1376,1395
"049 21 Kanta-Tapiola","Muu kieli","Väestö yhteensä",1438,1550,1737,1854,2056,2214,2567,2888
"049 211 Tapiolan keskus","Kaikki äidinkielet","Väestö yhteensä",2913,2987,3121,3617,3802,3861,4006,4232
"049 211 Tapiolan keskus","Suomi ja saame","Väestö yhteensä",2470,2539,2611,3043,3215,3238,3327,3483
"049 211 Tapiolan keskus","Ruotsi","Väestö yhteensä",163,174,186,220,222,223,233,241
"049 211 Tapiolan keskus","Muu kieli","Väestö yhteensä",280,274,324,354,365,400,446,508
"049 212 Länsikorkee","Kaikki äidinkielet","Väestö yhteensä",3885,3991,4027,4019,4030,4184,4556,4908
"049 212 Länsikorkee","Suomi ja saame","Väestö yhteensä",3263,3340,3363,3351,3373,3495,3802,4086
"049 212 Länsikorkee","Ruotsi","Väestö yhteensä",330,324,334,332,318,336,339,325
"049 212 Länsikorkee","Muu kieli","Väestö yhteensä",292,327,330,336,339,353,415,497
"049 213 Otsolahti","Kaikki äidinkielet","Väestö yhteensä",2659,2696,2730,2784,2790,2779,2823,2813
"049 213 Otsolahti","Suomi ja saame","Väestö yhteensä",2310,2347,2354,2382,2360,2374,2361,2322
"049 213 Otsolahti","Ruotsi","Väestö yhteensä",148,145,152,155,160,152,156,162
"049 213 Otsolahti","Muu kieli","Väestö yhteensä",201,204,224,247,270,253,306,329
"049 214 Niittykumpu","Kaikki äidinkielet","Väestö yhteensä",4027,4263,4411,4564,5148,5412,6008,6549
"049 214 Niittykumpu","Suomi ja saame","Väestö yhteensä",3450,3602,3680,3796,4228,4439,4886,5298
"049 214 Niittykumpu","Ruotsi","Väestö yhteensä",273,289,294,308,338,343,360,386
"049 214 Niittykumpu","Muu kieli","Väestö yhteensä",304,372,437,460,582,630,762,865
"049 215 Pohjois-Tapiola","Kaikki äidinkielet","Väestö yhteensä",6190,6182,6237,6406,6539,6618,6665,6667
"049 215 Pohjois-Tapiola","Suomi ja saame","Väestö yhteensä",5529,5522,5528,5658,5747,5763,5739,5697
"049 215 Pohjois-Tapiola","Ruotsi","Väestö yhteensä",300,287,287,291,292,277,288,281
"049 215 Pohjois-Tapiola","Muu kieli","Väestö yhteensä",361,373,422,457,500,578,638,689
"049 22 Otaniemi","Kaikki äidinkielet","Väestö yhteensä",3746,3787,3908,3972,3732,3758,4129,4219
"049 22 Otaniemi","Suomi ja saame","Väestö yhteensä",2617,2583,2581,2568,2414,2407,2586,2601
"049 22 Otaniemi","Ruotsi","Väestö yhteensä",179,183,183,149,153,154,147,146
"049 22 Otaniemi","Muu kieli","Väestö yhteensä",950,1021,1144,1255,1165,1197,1396,1472
"049 222 Otaniemi","Kaikki äidinkielet","Väestö yhteensä",3746,3787,3908,3972,3732,3758,4129,4219
"049 222 Otaniemi","Suomi ja saame","Väestö yhteensä",2617,2583,2581,2568,2414,2407,2586,2601
"049 222 Otaniemi","Ruotsi","Väestö yhteensä",179,183,183,149,153,154,147,146
"049 222 Otaniemi","Muu kieli","Väestö yhteensä",950,1021,1144,1255,1165,1197,1396,1472
"049 23 Haukilahti-Westend","Kaikki äidinkielet","Väestö yhteensä",8915,8858,8860,8840,8820,8788,8932,8982
"049 23 Haukilahti-Westend","Suomi ja saame","Väestö yhteensä",7095,7051,7056,7021,6972,6886,6995,6999
"049 23 Haukilahti-Westend","Ruotsi","Väestö yhteensä",1323,1301,1272,1261,1259,1284,1266,1255
"049 23 Haukilahti-Westend","Muu kieli","Väestö yhteensä",497,506,532,558,589,618,671,728
"049 231 Westend","Kaikki äidinkielet","Väestö yhteensä",3117,3113,3152,3094,3134,3078,3079,3164
"049 231 Westend","Suomi ja saame","Väestö yhteensä",2588,2557,2577,2527,2574,2518,2513,2565
"049 231 Westend","Ruotsi","Väestö yhteensä",352,367,358,348,347,350,335,335
"049 231 Westend","Muu kieli","Väestö yhteensä",177,189,217,219,213,210,231,264
"049 232 Haukilahti","Kaikki äidinkielet","Väestö yhteensä",5798,5745,5708,5746,5686,5710,5853,5818
"049 232 Haukilahti","Suomi ja saame","Väestö yhteensä",4507,4494,4479,4494,4398,4368,4482,4434
"049 232 Haukilahti","Ruotsi","Väestö yhteensä",971,934,914,913,912,934,931,920
"049 232 Haukilahti","Muu kieli","Väestö yhteensä",320,317,315,339,376,408,440,464
"049 24 Mankkaa","Kaikki äidinkielet","Väestö yhteensä",8017,8021,8169,8204,8227,8281,8442,8404
"049 24 Mankkaa","Suomi ja saame","Väestö yhteensä",6923,6918,7018,7020,6967,6988,7010,6936
"049 24 Mankkaa","Ruotsi","Väestö yhteensä",574,554,556,551,546,536,538,532
"049 24 Mankkaa","Muu kieli","Väestö yhteensä",520,549,595,633,714,757,894,936
"049 241 Vanha-Mankkaa","Kaikki äidinkielet","Väestö yhteensä",4640,4620,4731,4749,4724,4719,4691,4683
"049 241 Vanha-Mankkaa","Suomi ja saame","Väestö yhteensä",4121,4109,4179,4178,4121,4102,4013,3980
"049 241 Vanha-Mankkaa","Ruotsi","Väestö yhteensä",297,292,280,275,277,274,265,266
"049 241 Vanha-Mankkaa","Muu kieli","Väestö yhteensä",222,219,272,296,326,343,413,437
"049 242 Taavinkylä","Kaikki äidinkielet","Väestö yhteensä",3377,3401,3438,3455,3503,3562,3751,3721
"049 242 Taavinkylä","Suomi ja saame","Väestö yhteensä",2802,2809,2839,2842,2846,2886,2997,2956
"049 242 Taavinkylä","Ruotsi","Väestö yhteensä",277,262,276,276,269,262,273,266
"049 242 Taavinkylä","Muu kieli","Väestö yhteensä",298,330,323,337,388,414,481,499
"049 25 Laajalahti","Kaikki äidinkielet","Väestö yhteensä",3637,3642,3620,3646,3611,3632,3559,3550
"049 25 Laajalahti","Suomi ja saame","Väestö yhteensä",3063,3029,2988,2946,2899,2860,2781,2736
"049 25 Laajalahti","Ruotsi","Väestö yhteensä",151,143,150,154,160,151,141,139
"049 25 Laajalahti","Muu kieli","Väestö yhteensä",423,470,482,546,552,621,637,675
"049 251 Ruukinranta","Kaikki äidinkielet","Väestö yhteensä",216,205,208,206,207,201,191,178
"049 251 Ruukinranta","Suomi ja saame","Väestö yhteensä",188,176,171,165,171,165,157,147
"049 251 Ruukinranta","Ruotsi","Väestö yhteensä",16,15,15,16,15,15,15,16
"049 251 Ruukinranta","Muu kieli","Väestö yhteensä",12,14,22,25,21,21,19,15
"049 252 Pohjois-Laajalahti","Kaikki äidinkielet","Väestö yhteensä",3421,3437,3412,3440,3404,3431,3368,3372
"049 252 Pohjois-Laajalahti","Suomi ja saame","Väestö yhteensä",2875,2853,2817,2781,2728,2695,2624,2589
"049 252 Pohjois-Laajalahti","Ruotsi","Väestö yhteensä",135,128,135,138,145,136,126,123
"049 252 Pohjois-Laajalahti","Muu kieli","Väestö yhteensä",411,456,460,521,531,600,618,660
"049 3 Suur-Matinkylä","Kaikki äidinkielet","Väestö yhteensä",37338,38336,39213,40389,41684,42698,43135,43480
"049 3 Suur-Matinkylä","Suomi ja saame","Väestö yhteensä",28703,29098,29309,29778,30275,30698,30421,30108
"049 3 Suur-Matinkylä","Ruotsi","Väestö yhteensä",3432,3495,3501,3531,3642,3625,3647,3672
"049 3 Suur-Matinkylä","Muu kieli","Väestö yhteensä",5203,5743,6403,7080,7767,8375,9067,9700
"049 31 Matinkylä","Kaikki äidinkielet","Väestö yhteensä",19523,20092,20355,20867,21558,21748,21932,21738
"049 31 Matinkylä","Suomi ja saame","Väestö yhteensä",14091,14309,14313,14457,14709,14674,14525,14072
"049 31 Matinkylä","Ruotsi","Väestö yhteensä",2028,2042,2072,2113,2202,2225,2279,2279
"049 31 Matinkylä","Muu kieli","Väestö yhteensä",3404,3741,3970,4297,4647,4849,5128,5387
"049 311 Matinmetsä","Kaikki äidinkielet","Väestö yhteensä",4558,4730,4689,4699,4749,4713,4731,4720
"049 311 Matinmetsä","Suomi ja saame","Väestö yhteensä",3212,3224,3147,3105,3074,3043,2979,2884
"049 311 Matinmetsä","Ruotsi","Väestö yhteensä",404,414,403,386,399,386,381,390
"049 311 Matinmetsä","Muu kieli","Väestö yhteensä",942,1092,1139,1208,1276,1284,1371,1446
"049 312 Tiistilä","Kaikki äidinkielet","Väestö yhteensä",5147,5192,5385,5502,5509,5606,5866,5719
"049 312 Tiistilä","Suomi ja saame","Väestö yhteensä",3641,3634,3722,3685,3620,3659,3762,3598
"049 312 Tiistilä","Ruotsi","Väestö yhteensä",427,436,466,476,460,482,500,500
"049 312 Tiistilä","Muu kieli","Väestö yhteensä",1079,1122,1197,1341,1429,1465,1604,1621
"049 313 Matinlahti","Kaikki äidinkielet","Väestö yhteensä",5429,5792,5915,6157,6391,6498,6398,6410
"049 313 Matinlahti","Suomi ja saame","Väestö yhteensä",3925,4160,4192,4299,4445,4401,4296,4198
"049 313 Matinlahti","Ruotsi","Väestö yhteensä",767,764,768,796,813,832,872,871
