"Vantaan väestö äidinkielen ja iän mukaan 31.12."

"Alue","Äidinkieli","Ikä","2013","2014","2015","2016","2017","2018","2019","2020"
"092 51 Pakkala","Muu kieli","Väestö yhteensä",1288,1509,1634,1790,1868,1943,2093,2193
"092 52 Veromies","Kaikki äidinkielet","Väestö yhteensä",528,562,523,485,420,630,860,1078
"092 52 Veromies","Suomi ja saame","Väestö yhteensä",405,403,362,287,250,391,526,646
"092 52 Veromies","Ruotsi","Väestö yhteensä",12,11,11,8,10,15,17,23
"092 52 Veromies","Muu kieli","Väestö yhteensä",111,148,150,190,160,224,317,409
"092 53 Lentokenttä","Kaikki äidinkielet","Väestö yhteensä",12,12,11,9,9,8,8,10
"092 53 Lentokenttä","Suomi ja saame","Väestö yhteensä",..,..,..,..,..,..,..,..
"092 53 Lentokenttä","Ruotsi","Väestö yhteensä",..,..,..,..,..,..,..,..
"092 53 Lentokenttä","Muu kieli","Väestö yhteensä",..,..,..,..,..,..,..,..
"092 4 Tikkurilan suuralue","Kaikki äidinkielet","Väestö yhteensä",39473,40094,41530,41998,43026,44311,45272,46210
"092 4 Tikkurilan suuralue","Suomi ja saame","Väestö yhteensä",34177,34288,35062,35166,35602,36113,36463,36796
"092 4 Tikkurilan suuralue","Ruotsi","Väestö yhteensä",1183,1183,1212,1181,1177,1215,1223,1244
"092 4 Tikkurilan suuralue","Muu kieli","Väestö yhteensä",4113,4623,5256,5651,6247,6983,7586,8170
"092 60 Hiekkaharju","Kaikki äidinkielet","Väestö yhteensä",4930,5001,5071,5008,5345,5348,5381,5410
"092 60 Hiekkaharju","Suomi ja saame","Väestö yhteensä",4467,4528,4580,4490,4708,4669,4668,4641
"092 60 Hiekkaharju","Ruotsi","Väestö yhteensä",139,139,141,135,142,141,146,162
"092 60 Hiekkaharju","Muu kieli","Väestö yhteensä",324,334,350,383,495,538,567,607
"092 61 Tikkurila","Kaikki äidinkielet","Väestö yhteensä",5211,5373,5659,5853,6074,6519,7003,7297
"092 61 Tikkurila","Suomi ja saame","Väestö yhteensä",4285,4342,4513,4632,4778,5091,5462,5627
"092 61 Tikkurila","Ruotsi","Väestö yhteensä",131,130,143,134,127,145,170,161
"092 61 Tikkurila","Muu kieli","Väestö yhteensä",795,901,1003,1087,1169,1283,1371,1509
"092 62 Jokiniemi","Kaikki äidinkielet","Väestö yhteensä",4984,5028,5639,5781,5760,5778,5824,6110
"092 62 Jokiniemi","Suomi ja saame","Väestö yhteensä",3992,3959,4425,4530,4462,4323,4270,4407
"092 62 Jokiniemi","Ruotsi","Väestö yhteensä",169,169,181,177,168,191,175,176
"092 62 Jokiniemi","Muu kieli","Väestö yhteensä",823,900,1033,1074,1130,1264,1379,1527
"092 63 Viertola","Kaikki äidinkielet","Väestö yhteensä",6159,6267,6269,6393,6813,7358,7535,7700
"092 63 Viertola","Suomi ja saame","Väestö yhteensä",5546,5558,5508,5588,5908,6331,6388,6476
"092 63 Viertola","Ruotsi","Väestö yhteensä",190,181,176,172,173,188,182,195
"092 63 Viertola","Muu kieli","Väestö yhteensä",423,528,585,633,732,839,965,1029
"092 64 Kuninkaala","Kaikki äidinkielet","Väestö yhteensä",2853,2842,2827,2855,2814,2856,2849,2888
"092 64 Kuninkaala","Suomi ja saame","Väestö yhteensä",2480,2419,2383,2355,2290,2270,2256,2252
"092 64 Kuninkaala","Ruotsi","Väestö yhteensä",136,127,131,119,119,117,108,119
"092 64 Kuninkaala","Muu kieli","Väestö yhteensä",237,296,313,381,405,469,485,517
"092 65 Simonkylä","Kaikki äidinkielet","Väestö yhteensä",7591,7798,8073,8180,8134,8123,8115,8123
"092 65 Simonkylä","Suomi ja saame","Väestö yhteensä",6505,6587,6688,6682,6573,6406,6260,6164
"092 65 Simonkylä","Ruotsi","Väestö yhteensä",157,162,161,157,150,140,140,141
"092 65 Simonkylä","Muu kieli","Väestö yhteensä",929,1049,1224,1341,1411,1577,1715,1818
"092 66 Hakkila","Kaikki äidinkielet","Väestö yhteensä",1373,1381,1397,1361,1377,1367,1342,1318
"092 66 Hakkila","Suomi ja saame","Väestö yhteensä",1239,1230,1198,1168,1168,1142,1106,1060
"092 66 Hakkila","Ruotsi","Väestö yhteensä",59,61,67,71,78,71,73,78
"092 66 Hakkila","Muu kieli","Väestö yhteensä",75,90,132,122,131,154,163,180
"092 67 Ruskeasanta","Kaikki äidinkielet","Väestö yhteensä",4265,4230,4197,4131,4119,4170,4188,4163
"092 67 Ruskeasanta","Suomi ja saame","Väestö yhteensä",3902,3866,3815,3749,3696,3714,3684,3655
"092 67 Ruskeasanta","Ruotsi","Väestö yhteensä",102,99,102,102,106,116,116,102
"092 67 Ruskeasanta","Muu kieli","Väestö yhteensä",261,265,280,280,317,340,388,406
"092 68 Koivuhaka","Kaikki äidinkielet","Väestö yhteensä",1960,2024,2246,2286,2445,2655,2896,3069
"092 68 Koivuhaka","Suomi ja saame","Väestö yhteensä",1650,1688,1838,1859,1909,2063,2262,2414
"092 68 Koivuhaka","Ruotsi","Väestö yhteensä",70,83,78,82,83,80,86,83
"092 68 Koivuhaka","Muu kieli","Väestö yhteensä",240,253,330,345,453,512,548,572
"092 69 Helsingin pitäjän kk.","Kaikki äidinkielet","Väestö yhteensä",147,150,152,150,145,137,139,132
"092 69 Helsingin pitäjän kk.","Suomi ja saame","Väestö yhteensä",111,111,114,113,110,104,107,100
"092 69 Helsingin pitäjän kk.","Ruotsi","Väestö yhteensä",30,32,32,32,31,26,27,27
"092 69 Helsingin pitäjän kk.","Muu kieli","Väestö yhteensä",6,7,6,5,4,7,5,5
"092 5 Koivukylän suuralue","Kaikki äidinkielet","Väestö yhteensä",26772,27068,27272,28062,28825,29622,30208,30319
"092 5 Koivukylän suuralue","Suomi ja saame","Väestö yhteensä",22074,22083,21964,22214,22479,22607,22574,22200
"092 5 Koivukylän suuralue","Ruotsi","Väestö yhteensä",510,513,492,489,492,496,483,475
"092 5 Koivukylän suuralue","Muu kieli","Väestö yhteensä",4188,4472,4816,5359,5854,6519,7151,7644
"092 70 Koivukylä","Kaikki äidinkielet","Väestö yhteensä",3263,3435,3392,4075,4463,4836,5002,5154
"092 70 Koivukylä","Suomi ja saame","Väestö yhteensä",2769,2870,2831,3387,3665,3887,3926,3951
"092 70 Koivukylä","Ruotsi","Väestö yhteensä",96,97,82,88,92,97,102,100
"092 70 Koivukylä","Muu kieli","Väestö yhteensä",398,468,479,600,706,852,974,1103
"092 71 Ilola","Kaikki äidinkielet","Väestö yhteensä",4578,4667,4760,4796,4927,4989,5034,5011
"092 71 Ilola","Suomi ja saame","Väestö yhteensä",4155,4221,4295,4277,4329,4322,4343,4253
"092 71 Ilola","Ruotsi","Väestö yhteensä",95,105,110,110,107,113,98,106
"092 71 Ilola","Muu kieli","Väestö yhteensä",328,341,355,409,491,554,593,652
"092 72 Asola","Kaikki äidinkielet","Väestö yhteensä",3843,3953,4003,4078,4381,4671,4867,4931
"092 72 Asola","Suomi ja saame","Väestö yhteensä",3073,3123,3153,3142,3376,3526,3646,3667
"092 72 Asola","Ruotsi","Väestö yhteensä",70,78,71,69,68,68,70,65
"092 72 Asola","Muu kieli","Väestö yhteensä",700,752,779,867,937,1077,1151,1199
"092 73 Rekola","Kaikki äidinkielet","Väestö yhteensä",2867,2854,2893,2915,2943,2967,2980,2959
"092 73 Rekola","Suomi ja saame","Väestö yhteensä",2663,2624,2623,2626,2626,2644,2589,2569
"092 73 Rekola","Ruotsi","Väestö yhteensä",53,51,49,45,40,34,35,34
"092 73 Rekola","Muu kieli","Väestö yhteensä",151,179,221,244,277,289,356,356
"092 74 Havukoski","Kaikki äidinkielet","Väestö yhteensä",8156,8141,8195,8163,8057,8118,8352,8341
"092 74 Havukoski","Suomi ja saame","Väestö yhteensä",5699,5587,5433,5221,4914,4714,4597,4382
"092 74 Havukoski","Ruotsi","Väestö yhteensä",125,112,113,112,114,117,119,112
"092 74 Havukoski","Muu kieli","Väestö yhteensä",2332,2442,2649,2830,3029,3287,3636,3847
"092 75 Päiväkumpu","Kaikki äidinkielet","Väestö yhteensä",4065,4018,4029,4035,4054,4041,3973,3923
