"Helsingin väestö äidinkielen ja iän mukaan 31.12."

"Alue","Äidinkieli","Ikä","2013","2014","2015","2016","2017","2018","2019","2020"
"091 401 Siltamäki","Suomi ja saame","Väestö yhteensä",6781,6845,6779,6707,6790,6890,6777,6551
"091 401 Siltamäki","Ruotsi","Väestö yhteensä",219,212,203,212,209,198,193,191
"091 401 Siltamäki","Muu kieli","Väestö yhteensä",754,814,853,920,1017,1091,1271,1348
"091 403 Töyrynummi","Kaikki äidinkielet","Väestö yhteensä",3368,3413,3391,3391,3346,3330,3367,3369
"091 403 Töyrynummi","Suomi ja saame","Väestö yhteensä",3048,3073,3038,3006,2946,2931,2910,2883
"091 403 Töyrynummi","Ruotsi","Väestö yhteensä",88,92,92,99,105,96,96,96
"091 403 Töyrynummi","Muu kieli","Väestö yhteensä",232,248,261,286,295,303,361,390
"091 505 Puistolan peruspiiri","Kaikki äidinkielet","Väestö yhteensä",19070,19312,19589,20068,20255,20384,20369,20419
"091 505 Puistolan peruspiiri","Suomi ja saame","Väestö yhteensä",16630,16785,16808,16994,16970,16781,16505,16313
"091 505 Puistolan peruspiiri","Ruotsi","Väestö yhteensä",364,373,358,380,401,403,431,419
"091 505 Puistolan peruspiiri","Muu kieli","Väestö yhteensä",2076,2154,2423,2694,2884,3200,3433,3687
"091 402 Tapulikaupunki","Kaikki äidinkielet","Väestö yhteensä",8621,8491,8675,8888,8953,8989,8915,8940
"091 402 Tapulikaupunki","Suomi ja saame","Väestö yhteensä",7040,6887,6896,6916,6850,6726,6498,6357
"091 402 Tapulikaupunki","Ruotsi","Väestö yhteensä",172,177,165,180,185,179,187,172
"091 402 Tapulikaupunki","Muu kieli","Väestö yhteensä",1409,1427,1614,1792,1918,2084,2230,2411
"091 411 Puistola","Kaikki äidinkielet","Väestö yhteensä",6647,6741,6583,6718,6668,6633,6597,6612
"091 411 Puistola","Suomi ja saame","Väestö yhteensä",6201,6297,6144,6226,6162,6070,5981,5954
"091 411 Puistola","Ruotsi","Väestö yhteensä",108,118,118,118,117,120,122,134
"091 411 Puistola","Muu kieli","Väestö yhteensä",338,326,321,374,389,443,494,524
"091 412 Heikinlaakso","Kaikki äidinkielet","Väestö yhteensä",3023,3019,3000,2968,2992,2993,2990,2986
"091 412 Heikinlaakso","Suomi ja saame","Väestö yhteensä",2711,2674,2621,2587,2558,2513,2494,2468
"091 412 Heikinlaakso","Ruotsi","Väestö yhteensä",64,59,52,57,67,68,74,66
"091 412 Heikinlaakso","Muu kieli","Väestö yhteensä",248,286,327,324,367,412,422,452
"091 413 Tattarisuo","Kaikki äidinkielet","Väestö yhteensä",17,13,12,16,13,11,11,11
"091 413 Tattarisuo","Suomi ja saame","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 413 Tattarisuo","Ruotsi","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 413 Tattarisuo","Muu kieli","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 415 Alppikylä","Kaikki äidinkielet","Väestö yhteensä",762,1048,1319,1478,1629,1758,1856,1870
"091 415 Alppikylä","Suomi ja saame","Väestö yhteensä",670,921,1141,1260,1396,1469,1529,1531
"091 415 Alppikylä","Ruotsi","Väestö yhteensä",20,19,23,25,32,36,48,47
"091 415 Alppikylä","Muu kieli","Väestö yhteensä",72,108,155,193,201,253,279,292
"091 506 Jakomäen peruspiiri","Kaikki äidinkielet","Väestö yhteensä",5654,5283,5307,5288,5647,5737,5625,5617
"091 506 Jakomäen peruspiiri","Suomi ja saame","Väestö yhteensä",4103,3722,3657,3615,3708,3707,3589,3462
"091 506 Jakomäen peruspiiri","Ruotsi","Väestö yhteensä",94,81,84,75,77,77,75,72
"091 506 Jakomäen peruspiiri","Muu kieli","Väestö yhteensä",1457,1480,1566,1598,1862,1953,1961,2083
"091 414 Jakomäki","Kaikki äidinkielet","Väestö yhteensä",5654,5283,5307,5288,5647,5737,5625,5617
"091 414 Jakomäki","Suomi ja saame","Väestö yhteensä",4103,3722,3657,3615,3708,3707,3589,3462
"091 414 Jakomäki","Ruotsi","Väestö yhteensä",94,81,84,75,77,77,75,72
"091 414 Jakomäki","Muu kieli","Väestö yhteensä",1457,1480,1566,1598,1862,1953,1961,2083
"091 6 Kaakkoinen suurpiiri","Kaikki äidinkielet","Väestö yhteensä",48608,48971,49375,50476,51407,52850,54250,55858
"091 6 Kaakkoinen suurpiiri","Suomi ja saame","Väestö yhteensä",40241,40247,40404,41054,41543,42593,43534,44723
"091 6 Kaakkoinen suurpiiri","Ruotsi","Väestö yhteensä",2993,2994,2935,2921,2948,2986,2961,2977
"091 6 Kaakkoinen suurpiiri","Muu kieli","Väestö yhteensä",5374,5730,6036,6501,6916,7271,7755,8158
"091 601 Kulosaaren peruspiiri","Kaikki äidinkielet","Väestö yhteensä",3824,3853,3827,3864,3965,4007,3990,4126
"091 601 Kulosaaren peruspiiri","Suomi ja saame","Väestö yhteensä",2840,2821,2815,2856,2932,2964,2942,3027
"091 601 Kulosaaren peruspiiri","Ruotsi","Väestö yhteensä",740,740,715,688,694,674,663,664
"091 601 Kulosaaren peruspiiri","Muu kieli","Väestö yhteensä",244,292,297,320,339,369,385,435
"091 190 Mustikkamaa-Korkeasaari","Kaikki äidinkielet","Väestö yhteensä",17,20,21,23,15,14,13,14
"091 190 Mustikkamaa-Korkeasaari","Suomi ja saame","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 190 Mustikkamaa-Korkeasaari","Ruotsi","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 190 Mustikkamaa-Korkeasaari","Muu kieli","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 420 Kulosaari","Kaikki äidinkielet","Väestö yhteensä",3807,3833,3806,3841,3950,3993,3977,4112
"091 420 Kulosaari","Suomi ja saame","Väestö yhteensä",2824,2802,2796,2838,2919,2952,2930,3014
"091 420 Kulosaari","Ruotsi","Väestö yhteensä",739,739,713,686,692,672,662,663
"091 420 Kulosaari","Muu kieli","Väestö yhteensä",244,292,297,317,339,369,385,435
"091 602 Herttoniemen peruspiiri","Kaikki äidinkielet","Väestö yhteensä",27814,28126,28463,28282,28566,28875,29843,30271
"091 602 Herttoniemen peruspiiri","Suomi ja saame","Väestö yhteensä",23007,23088,23199,22795,22888,23099,23756,24120
"091 602 Herttoniemen peruspiiri","Ruotsi","Väestö yhteensä",1102,1133,1124,1124,1135,1149,1133,1113
"091 602 Herttoniemen peruspiiri","Muu kieli","Väestö yhteensä",3705,3905,4140,4363,4543,4627,4954,5038
"091 431 Länsi-Herttoniemi","Kaikki äidinkielet","Väestö yhteensä",8532,8626,8728,8564,8729,8847,8777,8806
"091 431 Länsi-Herttoniemi","Suomi ja saame","Väestö yhteensä",7204,7216,7266,7075,7164,7269,7212,7252
"091 431 Länsi-Herttoniemi","Ruotsi","Väestö yhteensä",339,346,337,326,370,361,337,329
"091 431 Länsi-Herttoniemi","Muu kieli","Väestö yhteensä",989,1064,1125,1163,1195,1217,1228,1225
"091 432 Roihuvuori","Kaikki äidinkielet","Väestö yhteensä",7738,7714,7728,7654,7745,7869,8058,8650
"091 432 Roihuvuori","Suomi ja saame","Väestö yhteensä",6233,6193,6154,6019,6034,6120,6262,6788
"091 432 Roihuvuori","Ruotsi","Väestö yhteensä",250,263,255,248,233,238,215,219
"091 432 Roihuvuori","Muu kieli","Väestö yhteensä",1255,1258,1319,1387,1478,1511,1581,1643
"091 433 Herttoniemen yritysalue","Kaikki äidinkielet","Väestö yhteensä",415,608,709,712,709,727,1072,1111
"091 433 Herttoniemen yritysalue","Suomi ja saame","Väestö yhteensä",354,519,601,590,583,594,849,883
"091 433 Herttoniemen yritysalue","Ruotsi","Väestö yhteensä",8,12,21,35,37,34,47,51
"091 433 Herttoniemen yritysalue","Muu kieli","Väestö yhteensä",53,77,87,87,89,99,176,177
"091 434 Herttoniemenranta","Kaikki äidinkielet","Väestö yhteensä",8841,8930,9051,9117,9152,9178,9634,9414
"091 434 Herttoniemenranta","Suomi ja saame","Väestö yhteensä",7250,7228,7236,7189,7187,7195,7469,7242
"091 434 Herttoniemenranta","Ruotsi","Väestö yhteensä",339,352,368,360,350,363,373,350
"091 434 Herttoniemenranta","Muu kieli","Väestö yhteensä",1252,1350,1447,1568,1615,1620,1792,1822
"091 440 Tammisalo","Kaikki äidinkielet","Väestö yhteensä",2288,2248,2247,2235,2231,2254,2302,2290
"091 440 Tammisalo","Suomi ja saame","Väestö yhteensä",1966,1932,1942,1922,1920,1921,1964,1955
"091 440 Tammisalo","Ruotsi","Väestö yhteensä",166,160,143,155,145,153,161,164
"091 440 Tammisalo","Muu kieli","Väestö yhteensä",156,156,162,158,166,180,177,171
"091 603 Laajasalon peruspiiri","Kaikki äidinkielet","Väestö yhteensä",16970,16992,17085,18330,18876,19968,20417,21461
"091 603 Laajasalon peruspiiri","Suomi ja saame","Väestö yhteensä",14394,14338,14390,15403,15723,16530,16836,17576
"091 603 Laajasalon peruspiiri","Ruotsi","Väestö yhteensä",1151,1121,1096,1109,1119,1163,1165,1200
"091 603 Laajasalon peruspiiri","Muu kieli","Väestö yhteensä",1425,1533,1599,1818,2034,2275,2416,2685
"091 480 Vartiosaari","Kaikki äidinkielet","Väestö yhteensä",23,24,17,16,16,11,9,9
"091 480 Vartiosaari","Suomi ja saame","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 480 Vartiosaari","Ruotsi","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 480 Vartiosaari","Muu kieli","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 491 Yliskylä","Kaikki äidinkielet","Väestö yhteensä",11330,11376,11522,12180,12522,12626,12925,13326
"091 491 Yliskylä","Suomi ja saame","Väestö yhteensä",9503,9513,9598,10147,10361,10362,10568,10802
"091 491 Yliskylä","Ruotsi","Väestö yhteensä",759,735,739,753,736,742,721,750
"091 491 Yliskylä","Muu kieli","Väestö yhteensä",1068,1128,1185,1280,1425,1522,1636,1774
"091 492 Jollas","Kaikki äidinkielet","Väestö yhteensä",3100,3103,3072,3093,3096,3101,3098,3022
"091 492 Jollas","Suomi ja saame","Väestö yhteensä",2696,2674,2655,2641,2604,2589,2554,2503
"091 492 Jollas","Ruotsi","Väestö yhteensä",220,218,205,179,183,190,196,185
"091 492 Jollas","Muu kieli","Väestö yhteensä",184,211,212,273,309,322,348,334
"091 493 Tullisaari","Kaikki äidinkielet","Väestö yhteensä",15,12,10,622,788,1202,1454,1454
"091 493 Tullisaari","Suomi ja saame","Väestö yhteensä",..,..,..,524,664,974,1200,1176
"091 493 Tullisaari","Ruotsi","Väestö yhteensä",..,..,..,27,34,53,59,58
"091 493 Tullisaari","Muu kieli","Väestö yhteensä",..,..,..,71,90,175,195,220
"091 494 Kruunuvuorenranta","Kaikki äidinkielet","Väestö yhteensä",363,367,372,378,397,1034,1117,1836
"091 494 Kruunuvuorenranta","Suomi ja saame","Väestö yhteensä",305,307,311,319,327,898,955,1522
"091 494 Kruunuvuorenranta","Ruotsi","Väestö yhteensä",46,43,39,39,47,62,72,103
"091 494 Kruunuvuorenranta","Muu kieli","Väestö yhteensä",12,17,22,20,23,74,90,211
"091 495 Hevossalmi","Kaikki äidinkielet","Väestö yhteensä",1684,1674,1664,1631,1662,1607,1443,1455
"091 495 Hevossalmi","Suomi ja saame","Väestö yhteensä",1421,1393,1389,1360,1375,1328,1196,1221
"091 495 Hevossalmi","Ruotsi","Väestö yhteensä",110,112,104,103,109,103,105,93
"091 495 Hevossalmi","Muu kieli","Väestö yhteensä",153,169,171,168,178,176,142,141
"091 500 Villinki","Kaikki äidinkielet","Väestö yhteensä",..,..,..,..,0,0,0,0
"091 500 Villinki","Suomi ja saame","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 500 Villinki","Ruotsi","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 500 Villinki","Muu kieli","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 510 Santahamina","Kaikki äidinkielet","Väestö yhteensä",450,431,423,408,394,386,370,358
"091 510 Santahamina","Suomi ja saame","Väestö yhteensä",435,416,411,397,382,369,355,344
"091 510 Santahamina","Ruotsi","Väestö yhteensä",9,9,5,6,8,11,10,9
"091 510 Santahamina","Muu kieli","Väestö yhteensä",6,6,7,5,4,6,5,5
"091 532 Itäsaaret","Kaikki äidinkielet","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 532 Itäsaaret","Suomi ja saame","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 532 Itäsaaret","Ruotsi","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 532 Itäsaaret","Muu kieli","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 7 Itäinen suurpiiri","Kaikki äidinkielet","Väestö yhteensä",106605,107957,109420,110671,112012,112671,113001,112869
"091 7 Itäinen suurpiiri","Suomi ja saame","Väestö yhteensä",80442,80510,80256,79938,79464,78851,78128,77306
"091 7 Itäinen suurpiiri","Ruotsi","Väestö yhteensä",4580,4485,4461,4427,4388,4318,4292,4211
"091 7 Itäinen suurpiiri","Muu kieli","Väestö yhteensä",21583,22962,24703,26306,28160,29502,30581,31352
"091 701 Vartiokylän peruspiiri","Kaikki äidinkielet","Väestö yhteensä",21945,22098,22235,22253,22423,22071,22090,21832
"091 701 Vartiokylän peruspiiri","Suomi ja saame","Väestö yhteensä",17201,17075,16906,16607,16458,16090,15849,15563
"091 701 Vartiokylän peruspiiri","Ruotsi","Väestö yhteensä",1134,1118,1069,1060,1077,1029,1068,1052
"091 701 Vartiokylän peruspiiri","Muu kieli","Väestö yhteensä",3610,3905,4260,4586,4888,4952,5173,5217
"091 451 Vartioharju","Kaikki äidinkielet","Väestö yhteensä",5970,5933,6018,6124,6136,6032,6013,5912
"091 451 Vartioharju","Suomi ja saame","Väestö yhteensä",5225,5159,5218,5262,5227,5144,5066,4997
"091 451 Vartioharju","Ruotsi","Väestö yhteensä",374,362,353,366,384,369,386,385
"091 451 Vartioharju","Muu kieli","Väestö yhteensä",371,412,447,496,525,519,561,530
"091 452 Puotila","Kaikki äidinkielet","Väestö yhteensä",5080,5166,5172,5098,5127,4911,4983,4973
"091 452 Puotila","Suomi ja saame","Väestö yhteensä",3892,3886,3833,3692,3651,3506,3524,3510
"091 452 Puotila","Ruotsi","Väestö yhteensä",292,294,284,273,284,266,272,268
"091 452 Puotila","Muu kieli","Väestö yhteensä",896,986,1055,1133,1192,1139,1187,1195
"091 453 Puotinharju","Kaikki äidinkielet","Väestö yhteensä",4145,4223,4225,4298,4314,4316,4264,4297
"091 453 Puotinharju","Suomi ja saame","Väestö yhteensä",3037,3030,2939,2895,2851,2832,2761,2776
"091 453 Puotinharju","Ruotsi","Väestö yhteensä",211,208,182,181,170,171,170,170
"091 453 Puotinharju","Muu kieli","Väestö yhteensä",897,985,1104,1222,1293,1313,1333,1351
"091 455 Marjaniemi","Kaikki äidinkielet","Väestö yhteensä",1990,2003,2020,1984,1985,1985,2039,2026
"091 455 Marjaniemi","Suomi ja saame","Väestö yhteensä",1717,1727,1715,1692,1685,1676,1706,1685
"091 455 Marjaniemi","Ruotsi","Väestö yhteensä",130,133,131,123,119,111,112,111
"091 455 Marjaniemi","Muu kieli","Väestö yhteensä",143,143,174,169,181,198,221,230
"091 456 Roihupelto","Kaikki äidinkielet","Väestö yhteensä",19,25,23,19,13,18,15,18
"091 456 Roihupelto","Suomi ja saame","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 456 Roihupelto","Ruotsi","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 456 Roihupelto","Muu kieli","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 457 Itäkeskus","Kaikki äidinkielet","Väestö yhteensä",4741,4748,4777,4730,4848,4809,4776,4606
"091 457 Itäkeskus","Suomi ja saame","Väestö yhteensä",3316,3255,3187,3058,3037,2921,2786,2589
"091 457 Itäkeskus","Ruotsi","Väestö yhteensä",126,120,119,117,120,112,128,118
"091 457 Itäkeskus","Muu kieli","Väestö yhteensä",1299,1373,1471,1555,1691,1776,1862,1899
"091 702 Myllypuron peruspiiri","Kaikki äidinkielet","Väestö yhteensä",10705,11385,11744,12200,12164,12567,12770,12695
"091 702 Myllypuron peruspiiri","Suomi ja saame","Väestö yhteensä",8192,8765,8971,9287,9155,9422,9542,9449
"091 702 Myllypuron peruspiiri","Ruotsi","Väestö yhteensä",409,407,401,416,401,401,404,402
"091 702 Myllypuron peruspiiri","Muu kieli","Väestö yhteensä",2104,2213,2372,2497,2608,2744,2824,2844
"091 454 Myllypuro","Kaikki äidinkielet","Väestö yhteensä",10705,11385,11744,12200,12164,12567,12770,12695
"091 454 Myllypuro","Suomi ja saame","Väestö yhteensä",8192,8765,8971,9287,9155,9422,9542,9449
"091 454 Myllypuro","Ruotsi","Väestö yhteensä",409,407,401,416,401,401,404,402
"091 454 Myllypuro","Muu kieli","Väestö yhteensä",2104,2213,2372,2497,2608,2744,2824,2844
"091 703 Mellunkylän peruspiiri","Kaikki äidinkielet","Väestö yhteensä",37123,37363,37600,38063,38771,39071,39117,39381
"091 703 Mellunkylän peruspiiri","Suomi ja saame","Väestö yhteensä",27256,26979,26598,26362,26272,25899,25684,25534
"091 703 Mellunkylän peruspiiri","Ruotsi","Väestö yhteensä",1149,1138,1145,1105,1071,1069,1033,992
"091 703 Mellunkylän peruspiiri","Muu kieli","Väestö yhteensä",8718,9246,9857,10596,11428,12103,12400,12855
"091 471 Kontula","Kaikki äidinkielet","Väestö yhteensä",13396,13519,13689,14031,14418,14342,14108,14288
"091 471 Kontula","Suomi ja saame","Väestö yhteensä",9543,9404,9304,9231,9116,8705,8490,8494
"091 471 Kontula","Ruotsi","Väestö yhteensä",480,484,479,453,453,442,419,407
"091 471 Kontula","Muu kieli","Väestö yhteensä",3373,3631,3906,4347,4849,5195,5199,5387
"091 472 Vesala","Kaikki äidinkielet","Väestö yhteensä",7449,7516,7504,7502,7410,7532,7424,7243
"091 472 Vesala","Suomi ja saame","Väestö yhteensä",5552,5537,5428,5407,5245,5245,5094,4956
"091 472 Vesala","Ruotsi","Väestö yhteensä",182,181,193,182,183,185,173,167
"091 472 Vesala","Muu kieli","Väestö yhteensä",1715,1798,1883,1913,1982,2102,2157,2120
"091 473 Mellunmäki","Kaikki äidinkielet","Väestö yhteensä",8571,8569,8561,8611,8743,8730,9104,9316
"091 473 Mellunmäki","Suomi ja saame","Väestö yhteensä",6726,6642,6558,6542,6548,6454,6698,6753
"091 473 Mellunmäki","Ruotsi","Väestö yhteensä",324,314,306,302,280,286,285,274
"091 473 Mellunmäki","Muu kieli","Väestö yhteensä",1521,1613,1697,1767,1915,1990,2121,2289
"091 474 Kivikko","Kaikki äidinkielet","Väestö yhteensä",4973,5021,5118,5188,5244,5206,5200,5357
"091 474 Kivikko","Suomi ja saame","Väestö yhteensä",3557,3547,3535,3500,3504,3382,3313,3346
"091 474 Kivikko","Ruotsi","Väestö yhteensä",96,98,103,108,96,96,98,92
"091 474 Kivikko","Muu kieli","Väestö yhteensä",1320,1376,1480,1580,1644,1728,1789,1919
"091 475 Kurkimäki","Kaikki äidinkielet","Väestö yhteensä",2734,2738,2728,2731,2956,3261,3281,3177
"091 475 Kurkimäki","Suomi ja saame","Väestö yhteensä",1878,1849,1773,1682,1859,2113,2089,1985
"091 475 Kurkimäki","Ruotsi","Väestö yhteensä",67,61,64,60,59,60,58,52
"091 475 Kurkimäki","Muu kieli","Väestö yhteensä",789,828,891,989,1038,1088,1134,1140
"091 704 Vuosaaren peruspiiri","Kaikki äidinkielet","Väestö yhteensä",36832,37111,37841,38155,38654,38962,39024,38961
"091 704 Vuosaaren peruspiiri","Suomi ja saame","Väestö yhteensä",27793,27691,27781,27682,27579,27440,27053,26760
"091 704 Vuosaaren peruspiiri","Ruotsi","Väestö yhteensä",1888,1822,1846,1846,1839,1819,1787,1765
"091 704 Vuosaaren peruspiiri","Muu kieli","Väestö yhteensä",7151,7598,8214,8627,9236,9703,10184,10436
"091 541 Keski-Vuosaari","Kaikki äidinkielet","Väestö yhteensä",13608,13595,13917,13949,13897,13946,14015,14078
"091 541 Keski-Vuosaari","Suomi ja saame","Väestö yhteensä",10783,10681,10783,10708,10617,10532,10472,10372
"091 541 Keski-Vuosaari","Ruotsi","Väestö yhteensä",908,880,874,862,849,819,797,799
"091 541 Keski-Vuosaari","Muu kieli","Väestö yhteensä",1917,2034,2260,2379,2431,2595,2746,2907
"091 542 Nordsjön kartano","Kaikki äidinkielet","Väestö yhteensä",..,..,..,0,0,0,0,0
"091 542 Nordsjön kartano","Suomi ja saame","Väestö yhteensä",..,..,..,0,0,0,0,0
"091 542 Nordsjön kartano","Ruotsi","Väestö yhteensä",..,..,..,0,0,0,0,0
"091 542 Nordsjön kartano","Muu kieli","Väestö yhteensä",..,..,..,0,0,0,0,0
"091 543 Uutela","Kaikki äidinkielet","Väestö yhteensä",6,6,6,7,7,8,7,8
"091 543 Uutela","Suomi ja saame","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 543 Uutela","Ruotsi","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 543 Uutela","Muu kieli","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 544 Meri-Rastila","Kaikki äidinkielet","Väestö yhteensä",5277,5258,5251,5327,5414,5389,5440,5252
"091 544 Meri-Rastila","Suomi ja saame","Väestö yhteensä",3470,3374,3304,3305,3258,3192,3168,3032
"091 544 Meri-Rastila","Ruotsi","Väestö yhteensä",180,166,176,171,172,166,158,158
"091 544 Meri-Rastila","Muu kieli","Väestö yhteensä",1627,1718,1771,1851,1984,2031,2114,2062
"091 545 Kallahti","Kaikki äidinkielet","Väestö yhteensä",6887,6919,6897,6854,6853,6841,6833,6758
"091 545 Kallahti","Suomi ja saame","Väestö yhteensä",4629,4579,4402,4293,4103,4034,3911,3855
"091 545 Kallahti","Ruotsi","Väestö yhteensä",224,216,214,212,212,213,204,199
"091 545 Kallahti","Muu kieli","Väestö yhteensä",2034,2124,2281,2349,2538,2594,2718,2704
"091 546 Aurinkolahti","Kaikki äidinkielet","Väestö yhteensä",6869,7170,7437,7695,7841,8033,8035,8051
"091 546 Aurinkolahti","Suomi ja saame","Väestö yhteensä",5612,5785,5941,6041,6086,6153,6070,6010
"091 546 Aurinkolahti","Ruotsi","Väestö yhteensä",294,280,304,312,312,318,332,332
"091 546 Aurinkolahti","Muu kieli","Väestö yhteensä",963,1105,1192,1342,1443,1562,1633,1709
"091 547 Rastila","Kaikki äidinkielet","Väestö yhteensä",4165,4162,4332,4323,4642,4745,4694,4814
"091 547 Rastila","Suomi ja saame","Väestö yhteensä",3276,3267,3346,3330,3510,3523,3427,3487
"091 547 Rastila","Ruotsi","Väestö yhteensä",280,278,276,287,292,301,294,273
"091 547 Rastila","Muu kieli","Väestö yhteensä",609,617,710,706,840,921,973,1054
"091 548 Niinisaari","Kaikki äidinkielet","Väestö yhteensä",19,0,0,0,0,0,0,0
"091 548 Niinisaari","Suomi ja saame","Väestö yhteensä",18,0,0,0,0,0,0,0
"091 548 Niinisaari","Ruotsi","Väestö yhteensä",0,0,0,0,0,0,0,0
"091 548 Niinisaari","Muu kieli","Väestö yhteensä",1,0,0,0,0,0,0,0
"091 549 Mustavuori","Kaikki äidinkielet","Väestö yhteensä",0,0,0,0,0,0,0,0
"091 549 Mustavuori","Suomi ja saame","Väestö yhteensä",0,0,0,0,0,0,0,0
"091 549 Mustavuori","Ruotsi","Väestö yhteensä",0,0,0,0,0,0,0,0
"091 549 Mustavuori","Muu kieli","Väestö yhteensä",0,0,0,0,0,0,0,0
"091 8 Östersundomin suurpiiri","Kaikki äidinkielet","Väestö yhteensä",2094,2063,2056,2044,2007,1944,1866,1830
"091 8 Östersundomin suurpiiri","Suomi ja saame","Väestö yhteensä",1581,1575,1549,1505,1490,1451,1393,1368
"091 8 Östersundomin suurpiiri","Ruotsi","Väestö yhteensä",428,423,418,409,398,377,352,343
"091 8 Östersundomin suurpiiri","Muu kieli","Väestö yhteensä",85,65,89,130,119,116,121,119
"091 801 Östersundomin peruspiiri","Kaikki äidinkielet","Väestö yhteensä",2094,2063,2056,2044,2007,1944,1866,1830
"091 801 Östersundomin peruspiiri","Suomi ja saame","Väestö yhteensä",1581,1575,1549,1505,1490,1451,1393,1368
"091 801 Östersundomin peruspiiri","Ruotsi","Väestö yhteensä",428,423,418,409,398,377,352,343
"091 801 Östersundomin peruspiiri","Muu kieli","Väestö yhteensä",85,65,89,130,119,116,121,119
"091 550 Östersundom","Kaikki äidinkielet","Väestö yhteensä",538,529,533,530,523,497,471,451
"091 550 Östersundom","Suomi ja saame","Väestö yhteensä",392,387,386,378,377,360,340,326
"091 550 Östersundom","Ruotsi","Väestö yhteensä",118,117,107,110,105,96,93,92
"091 550 Östersundom","Muu kieli","Väestö yhteensä",28,25,40,42,41,41,38,33
"091 560 Salmenkallio","Kaikki äidinkielet","Väestö yhteensä",40,33,33,28,27,34,30,29
"091 560 Salmenkallio","Suomi ja saame","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 560 Salmenkallio","Ruotsi","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 560 Salmenkallio","Muu kieli","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 570 Talosaari","Kaikki äidinkielet","Väestö yhteensä",87,62,62,62,64,60,58,57
"091 570 Talosaari","Suomi ja saame","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 570 Talosaari","Ruotsi","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 570 Talosaari","Muu kieli","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 580 Karhusaari","Kaikki äidinkielet","Väestö yhteensä",406,420,428,442,418,412,405,394
"091 580 Karhusaari","Suomi ja saame","Väestö yhteensä",297,300,299,297,289,295,295,284
"091 580 Karhusaari","Ruotsi","Väestö yhteensä",95,104,108,96,94,85,75,74
"091 580 Karhusaari","Muu kieli","Väestö yhteensä",14,16,21,49,35,32,35,36
"091 591 Landbo","Kaikki äidinkielet","Väestö yhteensä",841,840,817,795,788,767,733,737
"091 591 Landbo","Suomi ja saame","Väestö yhteensä",680,688,664,636,631,607,582,586
"091 591 Landbo","Ruotsi","Väestö yhteensä",142,133,133,134,128,128,116,113
"091 591 Landbo","Muu kieli","Väestö yhteensä",19,19,20,25,29,32,35,38
"091 592 Puroniitty","Kaikki äidinkielet","Väestö yhteensä",182,179,183,187,187,174,169,162
"091 592 Puroniitty","Suomi ja saame","Väestö yhteensä",145,142,146,144,144,135,127,124
"091 592 Puroniitty","Ruotsi","Väestö yhteensä",33,32,30,30,30,30,30,27
"091 592 Puroniitty","Muu kieli","Väestö yhteensä",4,5,7,13,13,9,12,11
"091 999 Muut","Kaikki äidinkielet","Väestö yhteensä",18525,18815,18693,17333,16602,15371,14646,12999
"091 999 Muut","Suomi ja saame","Väestö yhteensä",10779,10588,10567,9590,9593,9184,8632,7631
"091 999 Muut","Ruotsi","Väestö yhteensä",654,628,628,597,598,543,514,417
"091 999 Muut","Muu kieli","Väestö yhteensä",7092,7599,7498,7146,6411,5644,5500,4951
"091 998 Kantakaupunki","Kaikki äidinkielet","Väestö yhteensä",188290,191783,195670,198833,202280,204691,207394,210135
"091 998 Kantakaupunki","Suomi ja saame","Väestö yhteensä",157272,159634,162501,164415,166648,168046,169581,171078
"091 998 Kantakaupunki","Ruotsi","Väestö yhteensä",14793,14871,15112,15381,15472,15747,15983,16214
"091 998 Kantakaupunki","Muu kieli","Väestö yhteensä",16225,17278,18057,19037,20160,20898,21830,22843
"091 997 Esikaupungit","Kaikki äidinkielet","Väestö yhteensä",405849,410117,413845,419015,424390,427980,431795,433786
"091 997 Esikaupungit","Suomi ja saame","Väestö yhteensä",330300,331099,331004,331765,332401,332454,332898,332203
