OID_;Join_Count;TARGET_FID;municipal;district;name;pt_m_tt_2013_5874358;pt_m_t_2013_5874358;pt_m_d_2013_5874358;pt_m_tt_2013_5878088;pt_m_t_2013_5878088;pt_m_d_2013_5878088;pt_m_tt_2013_5911249;pt_m_t_2013_5911249;pt_m_d_2013_5911249;pt_m_tt_2013_5934892;pt_m_t_2013_5934892;pt_m_d_2013_5934892;pt_m_tt_2013_5934906;pt_m_t_2013_5934906;pt_m_d_2013_5934906;pt_m_tt_2013_5952975;pt_m_t_2013_5952975;pt_m_d_2013_5952975;pt_m_tt_2013_5958354;pt_m_t_2013_5958354;pt_m_d_2013_5958354;pt_m_tt_2013_5961860;pt_m_t_2013_5961860;pt_m_d_2013_5961860;pt_m_tt_2013_5961890;pt_m_t_2013_5961890;pt_m_d_2013_5961890;pt_m_tt_2013_5961894;pt_m_t_2013_5961894;pt_m_d_2013_5961894;pt_m_tt_2013_5968821;pt_m_t_2013_5968821;pt_m_d_2013_5968821;pt_m_tt_2013_5975374;pt_m_t_2013_5975374;pt_m_d_2013_5975374;pt_m_tt_2013_5978639;pt_m_t_2013_5978639;pt_m_d_2013_5978639;pt_m_tt_2013_5980222;pt_m_t_2013_5980222;pt_m_d_2013_5980222;pt_m_tt_2013_5980260;pt_m_t_2013_5980260;pt_m_d_2013_5980260;pt_m_tt_2015_5874358;pt_m_t_2015_5874358;pt_m_d_2015_5874358;pt_m_tt_2015_5878088;pt_m_t_2015_5878088;pt_m_d_2015_5878088;pt_m_tt_2015_5911249;pt_m_t_2015_5911249;pt_m_d_2015_5911249;pt_m_tt_2015_5934892;pt_m_t_2015_5934892;pt_m_d_2015_5934892;pt_m_tt_2015_5934906;pt_m_t_2015_5934906;pt_m_d_2015_5934906;pt_m_tt_2015_5952975;pt_m_t_2015_5952975;pt_m_d_2015_5952975;pt_m_tt_2015_5958354;pt_m_t_2015_5958354;pt_m_d_2015_5958354;pt_m_tt_2015_5961860;pt_m_t_2015_5961860;pt_m_d_2015_5961860;pt_m_tt_2015_5961890;pt_m_t_2015_5961890;pt_m_d_2015_5961890;pt_m_tt_2015_5961894;pt_m_t_2015_5961894;pt_m_d_2015_5961894;pt_m_tt_2015_5968821;pt_m_t_2015_5968821;pt_m_d_2015_5968821;pt_m_tt_2015_5975374;pt_m_t_2015_5975374;pt_m_d_2015_5975374;pt_m_tt_2015_5978639;pt_m_t_2015_5978639;pt_m_d_2015_5978639;pt_m_tt_2015_5980222;pt_m_t_2015_5980222;pt_m_d_2015_5980222;pt_m_tt_2015_5980260;pt_m_t_2015_5980260;pt_m_d_2015_5980260;pt_m_tt_2018_5874358;pt_m_t_2018_5874358;pt_m_d_2018_5874358;pt_m_tt_2018_5878088;pt_m_t_2018_5878088;pt_m_d_2018_5878088;pt_m_tt_2018_5911249;pt_m_t_2018_5911249;pt_m_d_2018_5911249;pt_m_tt_2018_5934892;pt_m_t_2018_5934892;pt_m_d_2018_5934892;pt_m_tt_2018_5934906;pt_m_t_2018_5934906;pt_m_d_2018_5934906;pt_m_tt_2018_5952975;pt_m_t_2018_5952975;pt_m_d_2018_5952975;pt_m_tt_2018_5958354;pt_m_t_2018_5958354;pt_m_d_2018_5958354;pt_m_tt_2018_5961860;pt_m_t_2018_5961860;pt_m_d_2018_5961860;pt_m_tt_2018_5961890;pt_m_t_2018_5961890;pt_m_d_2018_5961890;pt_m_tt_2018_5961894;pt_m_t_2018_5961894;pt_m_d_2018_5961894;pt_m_tt_2018_5968821;pt_m_t_2018_5968821;pt_m_d_2018_5968821;pt_m_tt_2018_5975374;pt_m_t_2018_5975374;pt_m_d_2018_5975374;pt_m_tt_2018_5978639;pt_m_t_2018_5978639;pt_m_d_2018_5978639;pt_m_tt_2018_5980222;pt_m_t_2018_5980222;pt_m_d_2018_5980222;pt_m_tt_2018_5980260;pt_m_t_2018_5980260;pt_m_d_2018_5980260;Shape_Length;Shape_Area
78;43;77;091;313;Myllykallio;61;54;19882;50;40;19601;44;37;14872;40;32;9156;48;38;11622;34;30;7551;34;29;10631;23;15;4554;28;22;6458;30;24;7430;26;22;5504;19;15;4030;26;21;4224;28;22;7967;15;11;2596;72;54;21133;51;40;19497;45;41;14719;37;30;9157;49;41;7576;37;32;7449;35;30;10730;23;15;4554;28;24;6557;30;26;7529;27;23;5588;21;18;3931;26;21;4144;28;23;7332;16;13;2473;57;42;19655;37;28;19370;36;31;14692;34;25;8780;41;31;11590;27;22;7451;23;21;10499;16;14;3601;17;14;6326;18;16;7297;16;14;5356;13;11;4082;20;18;4257;24;20;9144;9;7;2317;10112,996332418995735;4719254,997604207135737
79;14;78;091;314;Koivusaari;66;54;21586;56;46;19773;48;41;15044;34;29;7733;50;44;9949;39;34;7636;36;33;11934;19;14;3131;29;26;7762;31;28;8733;28;25;6791;23;20;5307;29;28;5691;20;18;6568;15;14;3899;74;53;21694;55;47;19820;47;44;14944;33;26;7618;48;39;7140;40;36;7636;37;33;12200;20;14;3131;30;26;8027;33;28;8999;29;25;7058;24;22;5306;30;28;5614;21;17;6568;16;14;3899;63;49;19021;44;37;21000;39;35;15191;35;25;7739;44;36;7888;31;29;7530;27;25;12129;16;14;2979;20;19;7956;22;21;8927;20;18;6986;16;14;5712;24;21;6226;24;20;8807;13;11;3928;4862,703690513827496;1007830,201226452016272
80;19;79;091;101;Vilhonvuori;35;27;13490;38;29;14928;29;24;9074;36;28;10039;37;29;6609;16;11;2233;12;10;4481;35;27;10659;0;0;0;8;6;612;5;4;325;11;8;1476;18;15;1932;36;32;13927;14;12;3542;44;38;14173;36;29;14905;30;25;9091;36;28;10257;37;26;6795;17;12;2233;12;10;3889;35;28;10661;0;0;0;8;5;613;5;5;326;11;8;1468;18;15;1995;37;34;13352;14;12;3542;44;26;13378;35;28;16404;30;27;9101;34;28;9955;39;29;6712;16;13;2158;12;9;3889;25;24;10075;0;0;0;7;5;613;5;5;326;11;9;1499;18;16;1995;33;29;15618;14;11;3505;4270,431818937286153;468038,924944511731155
81;25;80;091;102;Kalasatama;38;31;13324;39;31;14928;31;25;8633;37;29;10257;38;29;7036;18;11;2450;11;9;2496;38;29;11975;8;6;573;0;0;0;11;9;1846;12;10;3043;20;18;3510;38;35;14874;16;14;4859;47;42;13009;37;30;14066;31;26;8956;37;30;10257;37;26;7013;17;12;2451;11;9;2496;38;30;11978;8;6;572;0;0;0;10;8;1843;12;10;3071;20;18;3585;38;36;14880;16;14;4858;44;30;13677;37;30;15665;32;29;8661;35;28;10174;39;29;6930;16;13;2376;10;9;2474;27;26;11391;7;6;572;0;0;0;10;9;1632;12;11;3071;20;19;3585;34;31;16934;15;13;4822;5593,284326008108110;1117546,852113276720047
82;16;81;091;103;Sompasaari;50;40;14708;44;37;17164;39;31;12435;42;34;12074;48;36;8854;30;23;3295;16;14;3667;41;34;11311;13;11;1586;9;9;616;12;9;976;17;15;2037;25;21;2641;43;41;14210;21;19;3836;59;51;14858;45;35;17168;39;34;10830;41;34;12581;45;34;9338;26;22;3573;16;13;3431;45;37;10965;14;12;1696;10;10;726;13;10;993;19;17;2041;27;23;2498;46;43;13887;23;20;3836;56;39;14868;43;36;17101;39;33;12142;44;37;12599;47;36;9233;28;25;3958;16;14;3616;33;31;10369;13;11;1586;9;9;616;12;10;976;19;16;2073;26;23;2464;41;36;15912;21;18;3798;2827,513251873208901;410565,653770493285265
83;16;82;091;104;Hanasaari;38;29;13674;41;33;15176;31;26;9279;40;32;10505;43;33;7285;19;15;2590;14;11;3674;40;31;11029;7;7;466;7;6;467;9;6;976;15;12;2173;22;19;2641;41;38;13927;19;16;3912;47;40;14352;39;33;15153;33;28;9296;40;32;10885;39;29;7104;20;16;2541;18;15;3994;41;32;11032;7;7;466;11;5;780;9;9;657;15;12;2206;22;20;2663;42;38;13934;19;16;3912;44;28;13558;39;35;17509;33;30;9307;40;32;10421;41;32;7177;19;17;2466;13;11;3675;30;28;10445;7;7;466;7;7;467;9;8;657;16;14;2125;23;21;2629;38;34;15989;18;16;3876;2891,911865667132133;426911,180149046354927
84;33;83;091;412;Heikinlaakso;39;23;6800;29;20;2385;23;16;4307;49;42;19300;51;44;16167;36;30;11851;44;38;12831;66;56;19660;35;27;12079;36;29;12328;39;30;13188;42;36;14661;49;42;14722;70;57;26497;49;40;16602;43;23;6863;26;17;3640;25;16;4307;54;45;19152;56;44;15676;36;30;11723;47;37;13053;67;57;19518;37;26;12080;43;32;12041;41;30;13190;45;36;14706;52;42;14725;73;62;26637;50;40;16236;45;24;6793;22;17;3249;22;14;4307;50;42;17517;55;43;15439;34;29;11871;45;39;12736;60;53;23194;36;27;12504;43;32;12392;40;31;13598;44;37;14873;50;43;15244;68;59;28737;48;41;16624;4652,036931821813596;1175139,567740760277957
85;12;84;091;212;Hermanninranta;41;35;13117;45;40;13533;32;27;8264;43;37;11174;47;38;8053;27;21;3153;18;16;2496;44;36;12941;15;13;1716;8;4;721;17;11;2757;20;17;3954;27;23;4421;45;43;16182;23;21;5824;58;49;13009;42;35;13697;33;26;8444;43;37;11104;45;36;8075;26;22;3153;18;16;2496;45;37;12799;15;13;1715;8;8;552;17;15;2823;19;17;4037;27;25;4551;46;43;15846;23;21;5824;52;36;13785;42;36;13215;36;33;8455;46;39;12885;46;39;7632;24;20;3040;17;16;2474;34;33;12360;15;13;1718;8;7;552;16;13;2637;20;18;4039;27;26;4553;41;38;17903;22;21;5790;3267,458030958878680;586964,061547472374514
86;29;85;091;161;Vanha Ruskeasuo;43;33;12888;33;23;13336;27;21;8607;25;19;6174;18;14;2566;11;7;1198;27;21;7181;30;22;5597;21;16;2974;29;25;4172;27;21;4077;18;16;3920;25;21;4368;45;42;15572;28;25;5194;46;33;15815;33;26;13337;26;23;8462;26;19;6148;19;15;2541;15;9;1416;30;23;7234;33;23;5597;25;18;3207;30;24;4085;27;23;3652;17;16;3684;24;21;4376;47;41;15369;29;25;5168;46;32;12741;28;21;13208;26;21;8462;25;20;6148;19;15;2541;12;8;1314;28;23;7268;32;28;5445;22;17;3132;30;25;4821;29;21;3696;18;17;3680;26;23;4376;45;42;12317;27;24;5214;4221,585565688773386;1051754,416444156551734
87;26;86;091;162;Pikku Huopalahti;43;33;13334;39;28;15282;33;26;10458;25;19;5629;18;14;2006;16;13;3113;31;26;8912;23;16;4928;26;21;4951;32;28;5925;27;19;4597;18;16;4089;25;21;4435;44;35;11463;28;25;5194;46;33;15815;39;31;15051;33;29;10324;25;19;5446;17;14;2005;20;15;2976;35;29;8775;25;15;4928;29;23;4813;31;27;5724;27;22;4731;17;16;3755;24;21;4451;44;34;11750;29;25;5194;46;32;14344;34;26;15027;30;26;10281;25;20;5446;19;14;2005;17;13;2912;35;29;8710;22;18;4592;28;22;4729;32;30;6419;29;23;4734;18;17;3755;26;23;4451;38;31;10420;27;24;5231;4726,423090924617100;845059,469427855103277
88;17;87;091;336;Honkasuo;43;34;11354;48;36;17075;43;37;12658;34;23;4982;25;22;5258;30;23;7948;52;43;14018;44;33;9788;46;37;10028;48;42;14440;45;38;12498;37;31;11079;45;39;11651;63;51;16557;48;41;13011;45;40;11252;45;41;16465;37;32;11141;32;24;4979;29;23;5258;27;23;7938;48;43;14105;44;33;11611;44;40;13468;45;40;10956;43;38;12499;35;31;11079;43;39;11652;64;49;15581;46;41;13012;44;40;11523;47;36;16933;36;31;11176;34;23;5008;27;22;4664;29;24;7938;54;48;17642;47;37;11698;47;42;13387;49;44;14440;47;40;12193;37;32;11079;45;40;11652;64;54;17616;47;40;12950;3283,596772148192485;504419,201335480902344
89;33;88;091;413;Tattarisuo;38;30;6821;24;20;4128;16;10;2504;44;36;17060;48;38;14404;30;25;10175;44;38;12848;60;51;17983;35;27;10837;36;29;10719;39;31;11946;36;32;13088;43;38;13479;68;55;25254;47;42;14993;54;37;6950;23;15;3530;16;10;2772;45;34;17349;45;36;14380;28;25;10188;46;41;12294;60;54;17990;34;29;10837;40;32;10798;38;34;11947;37;34;13016;45;42;13481;70;64;25015;47;43;14993;48;27;10007;23;16;4142;17;9;2504;44;36;15714;51;38;13636;31;26;10195;46;40;12768;59;54;21144;35;29;10837;43;32;10725;39;33;11931;40;35;13406;47;43;13471;66;60;27070;47;42;14957;4994,122653799850923;1305055,440062352456152
90;49;89;091;414;Jakomäki;40;21;8883;32;27;5550;23;15;4293;49;43;17060;51;43;15211;36;30;11767;35;28;8961;60;50;19576;28;21;10837;30;24;10719;32;25;11946;37;31;13088;44;37;13479;65;55;25254;42;35;14993;43;21;8946;30;24;4829;22;16;4270;54;42;18275;52;43;14432;38;26;10756;38;31;8928;61;54;19809;30;22;10837;37;27;10798;34;26;11947;39;32;13016;45;38;13481;66;58;25015;43;36;14993;48;27;8876;27;21;5260;22;12;4001;54;40;18476;54;41;14651;37;28;10971;34;28;8915;57;49;21526;31;24;10837;36;29;10725;35;28;11931;42;34;13303;47;40;13471;65;56;27070;45;38;14957;6663,723182395384356;1949469,931436976883560
91;64;90;091;420;Kulosaari;47;38;14846;43;33;16728;36;31;9782;39;31;12057;41;31;8836;20;13;3584;10;5;925;40;31;13106;11;8;1881;10;6;668;14;11;2988;16;13;4202;23;20;4716;41;38;16430;19;16;5989;58;50;16069;42;33;16771;35;28;9781;41;32;12057;39;28;8813;20;14;3868;9;6;926;41;32;13174;11;8;1945;10;6;975;13;10;3053;16;13;4267;23;20;4781;42;38;16076;19;16;6054;54;40;15059;41;35;15665;36;32;9637;40;31;11152;41;32;7908;18;15;3354;8;6;926;30;28;12524;11;8;1809;9;6;668;14;11;2991;16;14;4204;23;21;4718;38;34;18068;18;16;5955;9039,718006844479532;3879477,888898369390517
92;74;91;091;431;Länsi-Herttoniemi;50;40;14675;40;35;12666;31;25;5266;41;33;12922;43;33;9723;21;15;5137;0;0;0;41;33;14798;13;10;3585;11;8;2625;16;13;4680;17;15;5894;25;22;6409;43;40;18157;21;18;7682;59;48;15323;39;33;12612;29;24;5283;41;34;12943;39;30;9699;21;16;5137;0;0;0;42;34;13717;13;10;3650;11;8;2690;15;12;4680;17;15;5894;25;22;6408;44;40;17703;21;18;7681;55;41;14203;32;27;12311;28;22;5294;43;36;12898;45;34;9654;21;17;5100;0;0;0;32;30;14214;13;10;3572;11;8;2617;16;13;4680;18;16;5894;25;23;6408;41;36;19757;21;18;7644;9838,491501334912755;3587444,049232735764235
93;15;92;091;415;Alppikylä;39;30;8588;32;26;4876;22;15;4062;49;42;17060;51;43;15211;36;30;11606;40;36;12345;61;54;19415;29;24;10837;30;25;10719;33;28;11946;38;33;13088;44;40;13479;65;55;25254;43;38;14993;52;31;12387;29;25;5530;22;16;4062;54;43;18744;52;43;14432;37;28;11225;45;39;12294;63;55;20335;34;27;10837;40;29;10798;38;31;11947;43;35;13016;49;42;13481;70;60;25015;47;39;14993;55;32;9555;28;17;5029;22;12;4001;53;40;17272;54;41;14651;36;28;11565;43;37;12738;59;50;21526;34;26;10837;40;31;10725;38;30;11931;43;36;13898;49;42;13471;66;57;27070;47;39;14957;3369,411107613798322;369579,716816245985683
94;43;93;091;432;Roihuvuori;53;44;14916;42;39;13477;33;29;8304;45;36;14665;48;38;11445;27;23;6858;10;7;1031;47;39;16531;17;15;5345;16;14;4389;21;18;6452;22;20;7666;30;27;8181;48;44;19809;26;23;9454;62;51;17191;41;37;13351;32;28;8325;50;43;14787;48;40;11977;30;25;6971;11;8;947;47;40;16527;18;16;5299;16;14;4343;20;18;6407;22;20;7621;30;27;8135;49;46;19430;26;23;9408;61;48;16751;36;31;15094;30;26;8300;47;40;15205;46;39;11863;28;23;6822;11;8;1032;38;36;16012;18;16;5370;16;15;4415;21;19;6478;23;22;7692;31;29;8206;45;42;21555;26;24;9442;7415,161459028649006;1762843,290744175668806
95;30;94;091;433;Herttoniemen yritysalue;50;40;16731;42;38;14766;33;29;8913;41;34;13850;43;34;10630;21;16;6044;0;0;0;41;33;15633;13;10;4407;11;8;3451;16;13;5514;17;15;6728;25;22;7243;43;40;18531;21;18;8516;59;49;17191;41;37;14192;32;28;8914;41;34;14118;39;31;10606;21;17;6044;0;0;0;42;34;15635;13;10;4407;11;8;3451;15;12;5515;17;15;6728;25;22;7242;44;40;18537;21;18;8516;55;41;16751;36;31;15094;30;26;8704;43;36;14535;45;36;10502;22;18;6008;0;0;0;32;30;15049;13;10;4407;11;8;3451;16;13;5515;18;16;6728;25;23;7243;41;36;20592;21;18;8479;5008,590308261569589;882175,224313061335124
96;33;95;091;434;Herttoniemenranta;50;41;16629;44;36;17615;35;32;10528;41;33;12922;43;33;9723;21;15;5137;0;0;0;41;34;14798;13;10;3585;11;9;2625;16;13;4680;17;15;5894;25;22;6409;43;41;18157;21;18;7682;59;50;17562;43;37;15749;34;29;10674;41;34;12943;39;30;9699;21;16;5137;0;0;0;42;35;14800;13;10;3650;11;9;2690;15;12;4680;17;15;5894;25;22;6408;44;41;17703;21;18;7681;55;41;16806;44;35;17702;36;31;10376;43;37;12898;45;34;9654;21;17;5100;0;0;0;32;30;14214;13;10;3572;11;9;2617;16;13;4680;18;16;5894;25;23;6408;41;36;19757;21;18;7644;5484,192501415753213;1359871,943482115864754
97;23;96;091;440;Tammisalo;59;52;18986;57;47;14787;43;36;9658;53;46;14665;55;46;11445;34;28;6858;13;10;1131;53;45;16531;25;21;5511;24;19;4554;28;24;6618;30;26;7832;37;33;8346;56;52;19809;33;29;9619;70;61;19838;51;46;23038;42;38;10558;52;45;15210;51;42;12833;33;29;6971;11;8;947;53;46;16527;22;18;5299;21;16;4343;24;20;6407;27;22;7621;34;30;8135;54;48;19430;30;26;9408;70;57;18937;52;44;23102;44;42;9697;55;45;18566;59;50;11863;34;30;6822;12;10;1336;44;39;16134;24;19;5492;22;18;4537;27;22;6600;30;25;7814;37;32;8328;51;46;21678;32;28;9565;4265,908539383010975;988249,107421482796781
98;25;97;091;363;Viikin tiedepuisto;42;33;10720;31;25;7711;16;10;2605;37;31;12473;36;30;9089;26;20;6121;25;20;5192;48;39;15187;18;14;5779;24;17;5873;21;19;6795;28;19;8012;34;25;8469;52;40;20751;32;27;9935;52;33;10512;29;25;7626;18;13;2622;40;26;12556;36;30;9276;24;11;5610;23;19;5354;48;43;13398;18;15;5786;25;21;6464;23;19;6802;28;25;8040;34;31;8496;55;52;19964;31;28;9943;51;35;9042;25;19;7558;16;14;2632;39;30;12522;38;33;9016;25;18;6028;23;19;4958;45;40;16566;20;16;5876;24;18;5764;23;20;6970;30;26;8245;37;32;8510;54;48;22109;34;30;9996;5058,082231463246899;870202,937440293258987
99;59;98;091;451;Vartioharju;55;41;12898;43;34;11375;28;21;6247;56;43;18130;55;45;16961;39;28;10549;20;14;4924;52;43;20211;25;19;8986;23;17;8029;28;22;10093;29;24;11307;37;31;11821;55;48;23535;33;27;13094;64;42;14406;43;35;11330;30;23;6304;56;43;17067;50;41;16220;42;35;10718;20;14;4925;53;44;20214;25;19;8986;23;17;8030;27;21;10094;29;24;11307;37;31;11821;57;49;23116;33;27;13094;60;46;12690;39;31;11276;27;22;6280;55;40;17296;50;41;16160;39;33;10670;18;15;4912;43;40;19615;24;20;8973;22;18;8018;27;23;10081;29;26;11295;36;33;11809;49;46;25158;31;28;13046;7107,723083150049206;2544274,875825236085802
100;30;99;091;452;Puotila;49;40;13444;39;32;11921;24;19;6793;53;42;21785;50;42;16961;34;26;10087;16;10;4398;47;39;19936;21;15;8460;19;13;7503;24;18;9567;25;20;10781;33;27;11295;51;44;23260;29;23;12568;61;40;18407;41;35;11928;27;20;6851;53;42;21784;44;38;16766;38;31;10443;16;10;4398;48;40;19939;21;15;8459;19;13;7503;23;17;9567;25;20;10781;33;27;11295;52;45;22793;29;23;12568;60;46;13236;37;29;11822;26;20;6826;49;37;17842;44;39;16706;36;29;10394;15;11;4385;40;36;19088;20;16;8446;18;14;7491;23;19;9554;25;22;10768;33;29;11282;45;42;24632;27;24;12519;4557,471941987295395;1209812,461238964693621
101;27;100;091;453;Puotinharju;49;36;12607;36;30;11085;21;17;6013;47;39;16923;47;40;13703;32;25;9463;12;9;3499;45;38;19019;17;15;7586;15;13;6838;20;18;8901;21;19;10115;29;27;10630;47;43;22343;25;23;11903;58;37;13408;38;31;11040;24;18;6014;47;39;16777;44;36;13740;32;30;9525;12;9;3499;46;39;19023;17;15;7650;15;13;6691;19;17;8902;21;19;10116;29;27;10630;47;45;21925;25;23;11903;54;43;12399;36;26;10985;23;17;5989;46;35;16899;43;36;13655;31;28;9101;12;9;3499;37;35;18423;17;15;7556;15;13;6826;20;18;8889;22;20;10103;30;28;10617;44;40;23966;25;22;11854;6075,652109369328173;786712,281882500858046
102;80;101;091;454;Myllypuro;43;34;10713;32;27;9191;18;14;4019;43;36;14930;43;37;12231;30;25;8604;15;11;2471;52;42;17757;20;16;6532;18;15;5576;23;19;7639;24;21;8853;32;28;9368;50;46;21081;28;24;10641;49;34;11827;31;25;9146;18;13;4108;45;37;14883;41;33;11620;30;24;8666;15;11;2471;52;43;17165;20;16;6532;18;15;5576;22;18;7640;24;21;8853;32;28;9367;51;46;20865;28;24;10640;52;40;10475;26;24;9014;16;14;4002;42;33;14911;41;34;12157;28;23;8242;15;12;2489;40;37;17192;20;17;6550;18;16;5594;23;20;7658;25;23;8872;33;30;9386;49;44;22735;28;26;10622;9169,837109918918941;3522599,227618165779859
103;32;102;091;455;Marjaniemi;58;49;14130;50;42;12608;35;29;7479;55;46;21409;56;52;18652;38;33;8945;20;16;2666;53;46;19560;25;22;8335;23;20;7379;28;25;9442;29;27;10656;37;34;11171;55;51;22884;33;30;12444;67;49;19094;46;43;12563;34;30;7537;54;46;21408;53;47;17255;41;37;9114;18;16;3046;53;46;19563;24;21;7425;23;19;6469;26;23;8533;29;26;9747;36;33;10261;56;51;22668;32;29;11534;67;52;13922;45;39;12509;36;30;7512;56;47;18529;54;48;17393;40;35;9078;19;16;3046;44;42;18963;24;22;8321;22;20;7366;27;25;9429;30;28;10643;37;35;11157;51;48;24507;32;30;12394;6532,223835760157272;2151584,001640427391976
104;23;103;091;456;Roihupelto;53;44;14701;38;33;12963;29;24;7148;45;38;15668;45;40;12504;30;25;8265;14;8;2137;50;41;17424;20;16;6198;18;15;5242;23;20;7305;24;22;8519;32;29;9034;50;46;20747;28;25;10307;61;46;16504;37;31;12832;28;22;7137;47;39;15638;45;37;12358;30;27;8328;13;10;2137;50;42;17427;20;17;6198;18;15;5243;22;19;7306;24;22;8520;32;29;9034;51;47;20329;28;25;10307;55;42;15764;32;26;12608;26;20;7577;44;37;15669;45;38;12458;28;24;7904;13;9;2156;40;38;16859;21;18;6217;19;16;5261;24;21;7325;26;24;8538;33;31;9052;48;44;22402;29;25;10289;3676,528152104599940;834843,440070468699560
105;11;104;091;461;Pajamäki;43;26;12014;46;38;15192;30;25;10063;17;13;2440;12;9;1574;26;19;5670;42;33;11470;28;22;6891;37;28;7508;44;36;8483;41;35;8260;33;27;7856;41;35;8449;51;44;13531;43;38;9118;51;33;12152;42;32;17743;35;30;10226;18;13;2370;12;9;1566;26;19;5667;43;37;11334;28;22;6892;38;31;7372;44;37;8282;41;34;9446;33;26;7852;41;35;8593;51;43;13805;43;37;9080;57;48;14665;42;31;17719;36;28;10012;17;13;2554;12;8;1566;27;19;5470;48;36;11269;32;28;7403;40;30;7288;45;38;8978;44;36;8522;34;26;7648;43;35;8242;49;42;13191;44;36;9202;2066,159771787140016;246552,377987145562656
106;33;105;091;462;Tali;43;26;12014;46;38;15192;30;25;10063;17;12;2440;10;8;735;26;19;5180;42;32;10979;26;20;6347;37;28;7018;43;36;7993;41;36;7769;33;27;7121;41;35;7783;49;42;12747;40;34;8098;49;33;12152;41;32;17142;34;29;10226;18;12;2370;10;8;734;26;20;5045;43;35;10844;26;20;6335;38;30;6882;43;37;7793;40;35;7333;32;27;6859;40;35;7779;49;42;12725;42;36;8067;56;48;14665;42;32;17134;36;28;10012;17;13;2554;10;7;734;27;19;4980;48;35;10779;32;26;6183;40;29;6798;45;37;8488;44;37;7899;34;27;6693;42;36;7752;49;41;12044;44;36;8057;5811,375833204539049;1147422,645569407148287
107;35;106;091;463;Reimarla;43;20;11206;42;34;14384;30;23;9255;11;7;1898;12;8;1300;23;15;5517;41;36;11666;21;17;6324;37;31;7704;42;35;10609;37;32;9055;29;23;8267;37;31;8861;45;38;11944;40;35;9892;43;20;11358;37;28;14536;31;26;9425;12;8;1802;13;8;1294;23;15;5508;41;35;11577;21;17;6324;37;31;8842;42;34;11651;38;30;9710;30;23;8264;38;31;8858;43;31;11978;41;33;10223;52;44;13260;38;27;14434;33;26;9545;11;8;1979;12;9;1358;24;15;5508;48;39;11466;26;22;6834;41;32;7485;43;35;10220;41;31;8888;31;23;8238;40;31;8832;42;36;12623;41;34;9645;5756,977469851218302;1263816,683168779825792
108;13;107;091;464;Marttila;43;23;10871;42;34;14049;30;23;8920;13;8;2897;10;8;727;23;15;4950;41;36;11064;24;18;7554;37;31;6857;42;35;10133;37;32;9500;29;23;7931;37;31;8525;47;40;14193;40;35;9204;43;25;11016;37;28;14073;31;26;8963;16;10;3048;10;8;725;23;15;4941;41;35;11010;24;18;7570;37;31;7966;42;34;11315;38;30;9374;30;23;7928;38;31;8522;47;40;13210;41;33;9210;50;43;13824;38;27;14098;33;24;8874;14;11;3137;10;8;725;24;15;4941;46;39;10978;29;24;8080;41;32;6998;43;35;9680;41;31;8830;31;23;7902;40;31;8496;45;39;13869;41;33;9309;2701,342299545750848;355649,598980754613876
109;40;108;091;465;Pitäjänmäen yritysalue;42;23;10742;40;30;14049;30;22;8791;12;8;2405;0;0;0;21;12;4008;40;30;10015;22;18;6891;35;25;6054;38;31;7566;35;28;6913;25;19;6501;34;28;7169;45;40;13531;36;31;7750;47;28;10887;36;25;14071;31;23;8961;13;9;2370;0;0;0;21;12;4008;41;32;9899;22;18;6450;36;28;5936;38;30;7374;35;27;7030;26;19;6752;34;28;7346;45;38;13448;37;30;7741;47;36;13097;37;24;14098;31;24;8745;12;8;2409;0;0;0;22;12;4044;45;34;10360;26;23;6260;38;28;6379;42;31;8069;38;28;7050;28;19;6546;36;28;7140;42;37;12089;38;28;7731;6618,926594996112726;1408135,466159936971962
110;66;109;091;471;Kontula;48;31;11537;36;30;9710;19;16;4630;49;43;17364;47;40;16059;36;29;11370;18;13;5577;55;47;20471;23;18;9638;21;16;8682;26;21;10745;27;23;11959;35;30;12474;53;48;23968;31;26;13747;53;32;11791;36;28;9551;22;16;4830;52;42;15706;44;36;14858;39;32;12235;18;13;5576;55;48;20473;23;18;9637;21;16;8681;25;20;10745;27;23;11959;35;30;12473;54;48;23970;31;26;13746;54;39;11107;33;26;9548;23;16;4634;48;35;15714;44;36;14577;37;32;11320;17;13;5171;42;38;19874;22;18;9232;20;16;8277;25;21;10340;28;24;11554;35;31;12068;51;47;25417;31;27;13304;9819,452358623431792;2578815,006987418979406
111;46;110;091;472;Vesala;51;26;12851;36;32;10032;25;21;6386;54;48;19503;55;50;17680;39;32;12602;21;15;6848;58;49;20023;26;21;10909;24;19;9953;29;24;12016;30;25;13230;38;33;13745;56;50;25239;34;29;15018;48;28;12673;34;28;9222;22;17;6137;54;44;18683;51;44;15439;39;32;11163;21;15;6848;58;50;22138;26;21;10909;24;19;9953;28;23;12017;30;25;13231;38;33;13745;56;50;25243;34;29;15018;50;29;12586;33;27;9219;23;17;6172;53;40;17252;52;42;15747;38;34;12592;19;15;6835;44;41;21538;24;21;10896;22;19;9941;27;24;12004;29;26;13218;37;34;13732;53;49;27082;32;29;14969;7365,171986217791527;1530621,016949575627223
