municipal,district,name_population,Year,all,finnish_sami,other,swedish,5874358,5878088,5911249,5934892,5934906,5952975,5958354,5961860,5961890,5961894,5968821,5975374,5978639,5980222,5980260,name_district
49,133,Karakallio,2014,5551.0,4300.0,974.0,277.0,,,,,,,,,,,,,,,,
49,133,Karakallio,2015,5557.0,4219.0,1056.0,282.0,36,39,35,9,17,24,45,22,41,43,40,32,40,27,38,Karakallio
49,133,Karakallio,2016,5495.0,4139.0,1096.0,260.0,,,,,,,,,,,,,,,,
49,133,Karakallio,2017,5493.0,4096.0,1141.0,256.0,,,,,,,,,,,,,,,,
49,133,Karakallio,2018,5425.0,3967.0,1210.0,248.0,58,41,36,10,24,26,51,28,45,46,44,34,42,28,43,Karakallio
49,133,Karakallio,2019,5449.0,3893.0,1314.0,242.0,,,,,,,,,,,,,,,,
49,133,Karakallio,2020,5417.0,3808.0,1375.0,234.0,,,,,,,,,,,,,,,,
49,141,Veininlaakso,2013,3704.0,3269.0,161.0,274.0,50,47,49,15,24,33,53,29,48,53,50,40,48,32,45,Veininlaakso
49,141,Veininlaakso,2014,3748.0,3315.0,159.0,274.0,,,,,,,,,,,,,,,,
49,141,Veininlaakso,2015,3905.0,3422.0,207.0,276.0,39,48,39,13,21,28,48,27,44,47,43,36,44,39,42,Veininlaakso
49,141,Veininlaakso,2016,3977.0,3477.0,222.0,278.0,,,,,,,,,,,,,,,,
49,141,Veininlaakso,2017,4000.0,3500.0,221.0,279.0,,,,,,,,,,,,,,,,
49,141,Veininlaakso,2018,4047.0,3521.0,264.0,262.0,58,49,44,14,26,34,58,37,52,54,51,42,50,39,49,Veininlaakso
49,141,Veininlaakso,2019,4051.0,3503.0,300.0,248.0,,,,,,,,,,,,,,,,
49,141,Veininlaakso,2020,4059.0,3467.0,349.0,243.0,,,,,,,,,,,,,,,,
49,142,Lähderanta,2013,1522.0,1232.0,109.0,181.0,51,53,54,20,24,40,55,35,50,55,50,41,50,33,45,Lähderanta
49,142,Lähderanta,2014,1733.0,1430.0,126.0,177.0,,,,,,,,,,,,,,,,
49,142,Lähderanta,2015,1781.0,1461.0,136.0,184.0,49,53,47,20,28,36,58,34,54,56,53,45,53,44,42,Lähderanta
49,142,Lähderanta,2016,1766.0,1438.0,160.0,168.0,,,,,,,,,,,,,,,,
49,142,Lähderanta,2017,1766.0,1433.0,172.0,161.0,,,,,,,,,,,,,,,,
49,142,Lähderanta,2018,1759.0,1401.0,201.0,157.0,58,52,50,20,26,40,64,37,57,59,57,45,54,42,50,Lähderanta
49,142,Lähderanta,2019,1757.0,1389.0,207.0,161.0,,,,,,,,,,,,,,,,
49,142,Lähderanta,2020,1722.0,1356.0,216.0,150.0,,,,,,,,,,,,,,,,
49,143,Jupperi,2013,5333.0,4843.0,178.0,312.0,49,47,49,15,21,33,51,32,46,51,46,38,46,35,48,Jupperi
49,143,Jupperi,2014,5320.0,4836.0,179.0,305.0,,,,,,,,,,,,,,,,
49,143,Jupperi,2015,5303.0,4795.0,208.0,300.0,39,48,39,13,21,28,48,27,44,47,43,36,44,39,46,Jupperi
49,143,Jupperi,2016,5350.0,4816.0,233.0,301.0,,,,,,,,,,,,,,,,
49,143,Jupperi,2017,5397.0,4816.0,285.0,296.0,,,,,,,,,,,,,,,,
49,143,Jupperi,2018,5434.0,4796.0,344.0,294.0,55,49,44,14,23,34,58,37,52,54,50,42,50,39,51,Jupperi
49,143,Jupperi,2019,5478.0,4799.0,371.0,308.0,,,,,,,,,,,,,,,,
49,143,Jupperi,2020,5441.0,4745.0,387.0,309.0,,,,,,,,,,,,,,,,
49,151,Viherlaakso,2013,5029.0,4076.0,484.0,469.0,39,36,37,14,26,23,46,27,39,42,38,31,39,28,40,Viherlaakso
49,151,Viherlaakso,2014,5148.0,4103.0,589.0,456.0,,,,,,,,,,,,,,,,
49,151,Viherlaakso,2015,5120.0,4077.0,598.0,445.0,37,36,34,12,22,23,43,24,39,42,38,31,39,27,37,Viherlaakso
49,151,Viherlaakso,2016,5088.0,4032.0,623.0,433.0,,,,,,,,,,,,,,,,
49,151,Viherlaakso,2017,5061.0,3987.0,652.0,422.0,,,,,,,,,,,,,,,,
49,151,Viherlaakso,2018,4973.0,3861.0,695.0,417.0,51,38,33,12,26,23,47,29,41,43,40,31,39,28,38,Viherlaakso
49,151,Viherlaakso,2019,4926.0,3806.0,704.0,416.0,,,,,,,,,,,,,,,,
49,151,Viherlaakso,2020,5042.0,3871.0,730.0,441.0,,,,,,,,,,,,,,,,
49,152,Lippajärvi,2013,4235.0,3530.0,309.0,396.0,44,50,51,20,29,35,59,33,53,56,52,42,51,35,41,Lippajärvi
49,152,Lippajärvi,2014,4216.0,3478.0,330.0,408.0,,,,,,,,,,,,,,,,
49,152,Lippajärvi,2015,4120.0,3366.0,330.0,424.0,50,48,47,19,29,36,57,32,54,56,53,43,53,37,39,Lippajärvi
49,152,Lippajärvi,2016,4033.0,3241.0,378.0,414.0,,,,,,,,,,,,,,,,
49,152,Lippajärvi,2017,3961.0,3184.0,395.0,382.0,,,,,,,,,,,,,,,,
49,152,Lippajärvi,2018,3952.0,3118.0,462.0,372.0,60,50,45,20,31,35,57,40,51,54,53,42,51,32,51,Lippajärvi
49,152,Lippajärvi,2019,3954.0,3103.0,480.0,371.0,,,,,,,,,,,,,,,,
49,152,Lippajärvi,2020,3998.0,3109.0,515.0,374.0,,,,,,,,,,,,,,,,
49,161,Sepänkylä,2013,1376.0,913.0,130.0,333.0,29,36,37,12,30,23,45,27,39,42,38,28,37,21,28,Sepänkylä
49,161,Sepänkylä,2014,1360.0,906.0,131.0,323.0,,,,,,,,,,,,,,,,
49,161,Sepänkylä,2015,1361.0,899.0,141.0,321.0,27,36,34,12,26,23,43,24,39,42,38,31,39,19,29,Sepänkylä
49,161,Sepänkylä,2016,1350.0,866.0,149.0,335.0,,,,,,,,,,,,,,,,
49,161,Sepänkylä,2017,1372.0,879.0,163.0,330.0,,,,,,,,,,,,,,,,
49,161,Sepänkylä,2018,1387.0,883.0,161.0,343.0,51,38,33,12,30,23,44,30,37,40,35,28,36,20,36,Sepänkylä
49,161,Sepänkylä,2019,1416.0,900.0,160.0,356.0,,,,,,,,,,,,,,,,
49,161,Sepänkylä,2020,1481.0,969.0,167.0,345.0,,,,,,,,,,,,,,,,
49,211,Tapiolan keskus,2013,2913.0,2470.0,280.0,163.0,37,45,42,14,28,31,32,9,26,28,25,20,28,13,14,Tapiolan Keskus
49,211,Tapiolan keskus,2014,2987.0,2539.0,274.0,174.0,,,,,,,,,,,,,,,,
49,211,Tapiolan keskus,2015,3121.0,2611.0,324.0,186.0,36,47,42,12,25,29,35,9,28,30,27,22,28,12,14,Tapiolan Keskus
49,211,Tapiolan keskus,2016,3617.0,3043.0,354.0,220.0,,,,,,,,,,,,,,,,
49,211,Tapiolan keskus,2017,3802.0,3215.0,365.0,222.0,,,,,,,,,,,,,,,,
49,211,Tapiolan keskus,2018,3861.0,3238.0,400.0,223.0,58,41,40,12,28,30,30,10,24,25,23,20,27,12,17,Tapiolan Keskus
49,211,Tapiolan keskus,2019,4006.0,3327.0,446.0,233.0,,,,,,,,,,,,,,,,
49,211,Tapiolan keskus,2020,4232.0,3483.0,508.0,241.0,,,,,,,,,,,,,,,,
49,212,Länsikorkee,2013,3885.0,3263.0,292.0,330.0,47,46,42,25,37,34,33,11,26,28,25,20,28,13,14,Länsikorkee
49,212,Länsikorkee,2014,3991.0,3340.0,327.0,324.0,,,,,,,,,,,,,,,,
49,212,Länsikorkee,2015,4027.0,3363.0,330.0,334.0,40,48,45,22,35,36,35,9,28,30,27,22,28,14,14,Länsikorkee
49,212,Länsikorkee,2016,4019.0,3351.0,336.0,332.0,,,,,,,,,,,,,,,,
49,212,Länsikorkee,2017,4030.0,3373.0,339.0,318.0,,,,,,,,,,,,,,,,
49,212,Länsikorkee,2018,4184.0,3495.0,353.0,336.0,53,37,40,24,38,32,30,10,24,25,23,20,27,7,16,Länsikorkee
49,212,Länsikorkee,2019,4556.0,3802.0,415.0,339.0,,,,,,,,,,,,,,,,
49,212,Länsikorkee,2020,4908.0,4086.0,497.0,325.0,,,,,,,,,,,,,,,,
49,213,Otsolahti,2013,2659.0,2310.0,201.0,148.0,36,42,40,13,27,28,31,6,24,26,23,21,27,14,13,Otsolahti
49,213,Otsolahti,2014,2696.0,2347.0,204.0,145.0,,,,,,,,,,,,,,,,
49,213,Otsolahti,2015,2730.0,2354.0,224.0,152.0,36,47,40,12,25,29,34,7,27,29,26,22,28,13,14,Otsolahti
49,213,Otsolahti,2016,2784.0,2382.0,247.0,155.0,,,,,,,,,,,,,,,,
49,213,Otsolahti,2017,2790.0,2360.0,270.0,160.0,,,,,,,,,,,,,,,,
49,213,Otsolahti,2018,2779.0,2374.0,253.0,152.0,50,38,37,12,28,27,27,10,21,22,20,17,24,17,14,Otsolahti
49,213,Otsolahti,2019,2823.0,2361.0,306.0,156.0,,,,,,,,,,,,,,,,
49,213,Otsolahti,2020,2813.0,2322.0,329.0,162.0,,,,,,,,,,,,,,,,
49,214,Niittykumpu,2013,4027.0,3450.0,304.0,273.0,42,42,41,26,43,34,30,18,23,25,22,20,26,11,12,Niittykumpu
49,214,Niittykumpu,2014,4263.0,3602.0,372.0,289.0,,,,,,,,,,,,,,,,
49,214,Niittykumpu,2015,4411.0,3680.0,437.0,294.0,47,46,43,26,40,31,31,18,24,26,23,17,24,12,13,Niittykumpu
49,214,Niittykumpu,2016,4564.0,3796.0,460.0,308.0,,,,,,,,,,,,,,,,
49,214,Niittykumpu,2017,5148.0,4228.0,582.0,338.0,,,,,,,,,,,,,,,,
49,214,Niittykumpu,2018,5412.0,4439.0,630.0,343.0,53,37,40,26,40,32,30,10,24,26,24,20,28,7,16,Niittykumpu
49,214,Niittykumpu,2019,6008.0,4886.0,762.0,360.0,,,,,,,,,,,,,,,,
49,214,Niittykumpu,2020,6549.0,5298.0,865.0,386.0,,,,,,,,,,,,,,,,
49,215,Pohjois-Tapiola,2013,6190.0,5529.0,361.0,300.0,36,43,41,12,25,30,38,6,32,34,31,26,33,21,19,Pohjois-Tapiola
49,215,Pohjois-Tapiola,2014,6182.0,5522.0,373.0,287.0,,,,,,,,,,,,,,,,
49,215,Pohjois-Tapiola,2015,6237.0,5528.0,422.0,287.0,36,45,41,11,25,29,42,8,35,38,34,27,34,22,20,Pohjois-Tapiola
49,215,Pohjois-Tapiola,2016,6406.0,5658.0,457.0,291.0,,,,,,,,,,,,,,,,
49,215,Pohjois-Tapiola,2017,6539.0,5747.0,500.0,292.0,,,,,,,,,,,,,,,,
49,215,Pohjois-Tapiola,2018,6618.0,5763.0,578.0,277.0,58,45,40,11,28,30,37,12,31,32,30,27,34,18,24,Pohjois-Tapiola
49,215,Pohjois-Tapiola,2019,6665.0,5739.0,638.0,288.0,,,,,,,,,,,,,,,,
49,215,Pohjois-Tapiola,2020,6667.0,5697.0,689.0,281.0,,,,,,,,,,,,,,,,
49,222,Otaniemi,2013,3746.0,2617.0,950.0,179.0,33,37,35,10,24,23,29,0,22,24,21,18,24,15,11,Otaniemi
49,222,Otaniemi,2014,3787.0,2583.0,1021.0,183.0,,,,,,,,,,,,,,,,
49,222,Otaniemi,2015,3908.0,2581.0,1144.0,183.0,33,41,34,9,22,24,29,0,22,24,21,16,22,14,11,Otaniemi
49,222,Otaniemi,2016,3972.0,2568.0,1255.0,149.0,,,,,,,,,,,,,,,,
49,222,Otaniemi,2017,3732.0,2414.0,1165.0,153.0,,,,,,,,,,,,,,,,
49,222,Otaniemi,2018,3758.0,2407.0,1197.0,154.0,50,37,35,9,25,25,24,0,18,19,17,14,21,12,11,Otaniemi
49,222,Otaniemi,2019,4129.0,2586.0,1396.0,147.0,,,,,,,,,,,,,,,,
49,222,Otaniemi,2020,4219.0,2601.0,1472.0,146.0,,,,,,,,,,,,,,,,
49,231,Westend,2013,3117.0,2588.0,177.0,352.0,47,41,39,20,33,32,28,10,22,24,21,17,24,11,11,Westend
49,231,Westend,2014,3113.0,2557.0,189.0,367.0,,,,,,,,,,,,,,,,
49,231,Westend,2015,3152.0,2577.0,217.0,358.0,46,41,41,18,34,29,28,9,21,24,20,15,22,11,11,Westend
49,231,Westend,2016,3094.0,2527.0,219.0,348.0,,,,,,,,,,,,,,,,
49,231,Westend,2017,3134.0,2574.0,213.0,347.0,,,,,,,,,,,,,,,,
49,231,Westend,2018,3078.0,2518.0,210.0,350.0,52,39,40,19,37,34,29,13,23,24,22,19,26,12,16,Westend
49,231,Westend,2019,3079.0,2513.0,231.0,335.0,,,,,,,,,,,,,,,,
49,231,Westend,2020,3164.0,2565.0,264.0,335.0,,,,,,,,,,,,,,,,
49,232,Haukilahti,2013,5798.0,4507.0,320.0,971.0,53,42,41,28,42,34,30,18,23,25,22,20,26,7,12,Haukilahti
49,232,Haukilahti,2014,5745.0,4494.0,317.0,934.0,,,,,,,,,,,,,,,,
49,232,Haukilahti,2015,5708.0,4479.0,315.0,914.0,51,46,43,26,40,31,31,18,24,26,23,17,24,7,13,Haukilahti
49,232,Haukilahti,2016,5746.0,4494.0,339.0,913.0,,,,,,,,,,,,,,,,
49,232,Haukilahti,2017,5686.0,4398.0,376.0,912.0,,,,,,,,,,,,,,,,
49,232,Haukilahti,2018,5710.0,4368.0,408.0,934.0,58,43,46,33,46,38,36,15,29,32,29,26,33,7,22,Haukilahti
49,232,Haukilahti,2019,5853.0,4482.0,440.0,931.0,,,,,,,,,,,,,,,,
49,232,Haukilahti,2020,5818.0,4434.0,464.0,920.0,,,,,,,,,,,,,,,,
49,241,Vanha-Mankkaa,2013,4640.0,4121.0,222.0,297.0,38,49,50,22,40,34,41,19,34,37,33,30,37,16,23,Vanha-Mankkaa
49,241,Vanha-Mankkaa,2014,4620.0,4109.0,219.0,292.0,,,,,,,,,,,,,,,,
49,241,Vanha-Mankkaa,2015,4731.0,4179.0,272.0,280.0,34,48,46,19,33,33,43,19,36,39,35,31,36,15,23,Vanha-Mankkaa
49,241,Vanha-Mankkaa,2016,4749.0,4178.0,296.0,275.0,,,,,,,,,,,,,,,,
49,241,Vanha-Mankkaa,2017,4724.0,4121.0,326.0,277.0,,,,,,,,,,,,,,,,
49,241,Vanha-Mankkaa,2018,4719.0,4102.0,343.0,274.0,66,50,48,21,36,37,43,22,36,38,36,32,40,16,28,Vanha-Mankkaa
49,241,Vanha-Mankkaa,2019,4691.0,4013.0,413.0,265.0,,,,,,,,,,,,,,,,
49,241,Vanha-Mankkaa,2020,4683.0,3980.0,437.0,266.0,,,,,,,,,,,,,,,,
