from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5945805;5934906;184;12851;52;43;13703;27;17161
5945806;5934906;183;12843;51;46;18828;26;17837
5945807;5934906;186;13039;47;42;18549;26;17562
5945808;5934906;191;13355;48;44;18375;25;17454
5945809;5934906;196;13746;53;48;18323;28;17835
5945810;5934906;200;14034;55;48;18359;26;17409
5945811;5934906;204;14311;58;51;18559;29;17643
5945812;5934906;209;14629;58;54;18784;27;18026
5945813;5934906;213;14925;65;58;19081;29;18408
5945814;5934906;219;15325;68;64;19476;32;18926
5945815;5934906;221;15457;72;66;19608;33;19147
5945816;5934906;230;16100;69;62;21105;35;19917
5945817;5934906;232;16223;69;63;21164;33;20041
5945818;5934906;239;16698;69;64;21245;31;20176
5945819;5934906;239;16727;69;67;23532;32;20641
5945820;5934906;243;16997;71;65;23351;32;20687
5945821;5934906;247;17310;69;62;22204;34;21052
5945822;5934906;250;17495;65;60;22103;34;21133
5945823;5934906;255;17875;69;63;22309;34;21506
5945824;5934906;257;17989;69;65;22417;35;21534
5945825;5934906;260;18209;72;67;22581;34;21697
5945826;5934906;263;18422;79;75;26019;34;25308
5945827;5934906;266;18600;81;77;26145;38;25224
5945828;5934906;272;19065;83;69;21565;34;25103
5945829;5934906;275;19284;83;70;21402;34;25488
5945830;5934906;279;19562;87;74;21664;35;25748
5945831;5934906;285;19927;91;77;21895;36;26190
5945832;5934906;288;20131;98;84;22592;35;25265
5945833;5934906;292;20428;100;88;26425;37;25758
5945834;5934906;308;21587;113;100;25050;35;25374
5947492;5934906;306;21437;82;70;33126;32;25038
5947493;5934906;302;21134;82;67;20491;32;24843
5947494;5934906;298;20882;75;63;20240;31;24513
5947495;5934906;294;20571;73;59;19929;30;24228
5947496;5934906;290;20319;68;55;19677;30;23987
5947497;5934906;287;20079;68;54;19608;31;24061
5947498;5934906;286;19997;68;54;19361;31;23848
5947499;5934906;282;19737;70;58;19127;30;23761
5947500;5934906;283;19784;73;59;19174;31;22643
5947501;5934906;274;19162;69;56;18552;32;22666
5947502;5934906;271;18987;67;54;18377;28;22181
5947503;5934906;264;18484;69;56;18511;29;21978
5947504;5934906;250;17511;82;69;18601;24;20733
5947505;5934906;246;17234;76;66;18529;24;20457
5947506;5934906;244;17088;69;57;17809;24;20314
5947507;5934906;243;16979;69;58;17839;25;20214
5947508;5934906;242;16905;72;60;17963;28;20232
5947509;5934906;238;16682;71;61;18048;39;22555
5947510;5934906;232;16219;67;54;18588;39;20352
5947511;5934906;230;16094;69;57;18787;29;19112
5947512;5934906;225;15745;60;47;18378;27;18750
5947513;5934906;222;15505;63;50;18890;26;18386
5947514;5934906;217;15189;61;53;14091;27;18662
5947515;5934906;214;15000;59;50;13902;28;18508
5947516;5934906;211;14754;61;54;14195;27;18796
5947517;5934906;207;14516;59;51;13958;26;16810
5947518;5934906;204;14269;53;43;13443;26;18263
5947519;5934906;203;14177;53;45;13539;26;16401
5947520;5934906;197;13790;52;45;15828;24;16075
5947521;5934906;192;13442;50;41;15913;24;15609
5947522;5934906;188;13192;52;41;15734;23;15378
5947523;5934906;185;12970;51;44;15940;23;15368
5947524;5934906;182;12723;51;41;11900;22;15036
5947525;5934906;179;12534;49;41;11908;23;14811
5947526;5934906;175;12273;52;45;12156;21;14627
5947527;5934906;170;11918;52;42;11044;21;14524
5947528;5934906;167;11717;50;39;10842;22;14936
5947529;5934906;169;11801;51;41;10927;18;13174
5947530;5934906;159;11128;51;39;10808;22;14348
5947531;5934906;155;10875;51;41;10959;22;14529
5947532;5934906;150;10534;54;45;11225;22;12809
5947533;5934906;148;10376;59;50;11622;21;12463
5947534;5934906;145;10126;58;53;11820;21;12097
5947535;5934906;143;9991;57;50;9887;21;11858
5947536;5934906;139;9717;53;46;9689;16;10941
5947537;5934906;134;9406;58;50;11137;17;11099
5947538;5934906;130;9131;51;44;10861;18;11072
5947539;5934906;127;8924;53;43;10655;17;10704
5947540;5934906;123;8619;46;37;8497;16;10502
5947541;5934906;120;8383;44;33;8248;16;10244
5947542;5934906;117;8162;43;33;8186;18;10285
5947543;5934906;115;8024;44;36;8395;18;10543
5947544;5934906;111;7775;47;37;9542;18;11102
5947545;5934906;107;7476;48;36;9004;18;9682
5947546;5934906;106;7407;51;37;8339;18;9561
5947547;5934906;99;6946;54;39;8434;22;9768
5947548;5934906;95;6620;47;36;7802;18;9181
5947549;5934906;93;6479;43;34;7661;18;9021
5947550;5934906;87;6095;39;29;7268;16;8632
5947551;5934906;83;5835;38;33;6931;17;7908
5947552;5934906;80;5617;37;34;7211;17;7915
5947553;5934906;77;5415;36;28;6233;15;7470
5947554;5934906;73;5079;30;25;5897;14;7166
5947555;5934906;75;5242;34;27;6175;14;7307
5947556;5934906;69;4838;37;35;6680;15;6530
5947557;5934906;65;4571;40;33;7107;16;6450
5947559;5934906;66;4636;51;46;7508;17;6689
5947560;5934906;60;4178;51;37;6240;14;6625
5947561;5934906;56;3926;49;34;5988;18;6881
5947562;5934906;51;3595;46;33;5965;12;4449
5947563;5934906;36;2554;35;29;3890;11;4007
5947564;5934906;34;2401;32;28;4075;13;3697
5947565;5934906;32;2223;29;25;3545;12;3356
5947566;5934906;33;2332;30;27;3398;11;3191
5947567;5934906;32;2252;28;22;2524;12;2733
5947568;5934906;30;2087;23;19;2276;10;2525
5947569;5934906;30;2068;21;17;2127;12;2481
5947570;5934906;31;2166;24;20;2437;13;2620
5947571;5934906;31;2179;22;19;2363;11;2542
5947572;5934906;33;2311;22;18;3143;12;2770
5947573;5934906;36;2497;18;14;2869;12;2971
5947574;5934906;42;2975;22;18;3195;15;3768
5947575;5934906;41;2898;27;22;3057;16;3932
5947576;5934906;46;3254;27;18;3999;16;4211
5947577;5934906;50;3478;23;16;3832;13;3918
5947578;5934906;61;4259;32;23;4337;14;4661
5947579;5934906;56;3934;25;15;3768;13;4268
5947580;5934906;66;4607;31;21;5210;13;4411
5947581;5934906;64;4454;32;23;5326;18;5333
5947582;5934906;70;4898;37;27;5406;15;4994
5947583;5934906;70;4924;36;25;5352;15;5448
5947584;5934906;74;5149;37;28;5733;16;5641
5947585;5934906;79;5555;39;30;5865;16;5951
5947586;5934906;83;5838;44;36;8284;17;6292
5947587;5934906;87;6096;44;32;8022;20;7242
5947588;5934906;93;6509;44;33;7906;21;7335
5947589;5934906;95;6651;44;36;8792;22;7549
5947590;5934906;99;6958;48;40;9268;22;7876
5947591;5934906;104;7303;51;45;9613;26;8313
5947593;5934906;123;8635;65;56;9676;25;8128
5947594;5934906;120;8373;65;52;9413;30;12355
5947595;5934906;122;8538;65;55;9579;31;12402
5947596;5934906;122;8526;65;55;9567;30;12341
5947599;5934906;165;11560;67;57;12248;31;13635
5947600;5934906;161;11291;66;58;12643;30;13270
5947601;5934906;151;10567;62;54;12358;28;13112
5947602;5934906;152;10641;59;51;13120;31;12986
5947603;5934906;155;10865;54;47;12730;28;13635
5947604;5934906;158;11079;50;41;12337;26;13291
5947605;5934906;163;11400;49;39;12195;25;13124
5947606;5934906;171;11969;52;42;12522;25;13180
5947607;5934906;172;12029;48;40;12642;25;13386
5947608;5934906;176;12295;51;43;12881;25;13644
5947609;5934906;179;12528;54;46;13113;26;13888
5947610;5934906;183;12796;55;49;14120;32;18506
5947611;5934906;186;13052;53;48;18977;28;18271
5947612;5934906;189;13262;48;45;18741;29;17952
5947613;5934906;193;13482;48;47;18861;27;18028
5947614;5934906;198;13879;56;51;18889;27;17804
5947615;5934906;200;14026;57;52;18625;28;17711
5947616;5934906;205;14335;58;52;18652;28;17884
5947617;5934906;208;14584;62;55;18838;28;18067
5947618;5934906;212;14819;65;59;21270;28;18272
5947619;5934906;215;15056;67;58;21197;31;18524
5947620;5934906;220;15410;65;60;20917;34;18726
5947621;5934906;226;15809;63;58;20814;34;19920
5947622;5934906;231;16146;61;56;20703;31;19638
5947623;5934906;233;16280;63;58;20827;32;20082
5947624;5934906;237;16609;69;65;22410;34;20147
5947625;5934906;242;16949;69;66;23420;32;20631
5947626;5934906;245;17172;63;58;21959;33;20671
5947627;5934906;249;17405;61;56;21830;34;20965
5947628;5934906;251;17600;63;58;21973;32;21024
5947629;5934906;254;17815;67;62;22187;33;21240
5947630;5934906;257;18001;69;64;22373;33;21493
5947631;5934906;261;18242;77;68;22662;34;21932
5947632;5934906;265;18563;81;77;26110;35;22012
5947633;5934906;275;19262;83;70;21166;38;26052
5947634;5934906;276;19291;83;70;21150;36;25765
5947635;5934906;279;19516;87;73;21376;39;26013
5947636;5934906;284;19853;91;78;21714;36;26235
5947637;5934906;287;20108;96;82;22212;37;26520
5947638;5934906;293;20497;101;89;26494;35;25572
5949290;5934906;-1;-1;-1;-1;-1;35;26345
5949291;5934906;-1;-1;-1;-1;-1;35;26345
5949292;5934906;-1;-1;-1;-1;-1;31;24950
5949293;5934906;-1;-1;-1;-1;-1;37;25379
5949294;5934906;-1;-1;-1;-1;-1;36;25278
5949295;5934906;305;21385;82;70;20743;36;25077
5949296;5934906;300;20985;78;64;20343;34;24739
5949297;5934906;297;20786;75;62;20144;34;24463
5949298;5934906;295;20632;75;59;19990;31;24087
5949299;5934906;290;20329;73;59;19959;29;23599
5949300;5934906;283;19787;68;54;19322;29;23517
5949301;5934906;279;19535;68;55;18925;28;23417
5949302;5934906;275;19257;66;52;18690;29;22470
5949303;5934906;271;18956;65;54;18846;28;22229
5949304;5934906;268;18784;65;52;18262;29;22065
5949305;5934906;263;18401;67;54;17885;28;21727
5949306;5934906;262;18326;65;53;17810;27;21612
5949307;5934906;250;17482;64;54;17552;26;20753
5949308;5934906;248;17347;64;54;17566;25;20689
5949309;5934906;245;17120;64;53;17527;27;21008
5949310;5934906;240;16826;67;55;17610;35;22237
5949311;5934906;238;16647;67;52;17814;40;22608
